text,task_1,task_2
@PTI_News ONCE IN A CENTURY  @narendramodi जैसा मनहुस पैदा होता है @PMOIndia  #मनहुस_मोदी का साया देश से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,HOF,OFFN
@BramhRakshas मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
"अगर धरना देने से सब सही हो जाता तो..  कुरुक्षेत्र में  ""श्री कृष्ण"" भी ""अर्जुन"" को यही सलाह देते.. पश्चिम बंगाल  @BJP4India @BJP4Bengal  #BengalBurning",NOT,NONE
मुनाफ़िक़ दोस्तों से लाख अच्छे हैं खुले दुश्मन। #BycottRJD  #JusticeForShahabuddin @osama_shahab_  @yadavtejashwi  @TejYadav14  @laluprasadrjd https://t.co/oop4KGM4X8,NOT,NONE
"मरहूम सहाबुद्दीन की लाश जैसे दिल्ली गेट ITO कब्रिस्तान मे सुपुर्द ए खाक हुई,❣️   Inshallah ऐसे ही बिहार में  लालू तेरी पार्टी को सुपुर्दे खाक करेगी बिहार की जनता #JusticeForShahabuddin",NOT,NONE
"अगर जरा भी ज़मीर बचा है और जरा भी साहब से मोहब्बत थी तो #boycottRJD करो और पार्टी पद से इस्तीफ़ा दो, चाहे BJP कियु न जॉइन करना पड़े, वरना ढोंगी रोना बन्द करो! #JusticeForShahabuddin  #BoycottRJD",HOF,HATE
"@Sabhapa30724463 उप्र लागू नही होता क्यों कि मै जानवर जाती हूं अतः आप अब बताइए क्या कारण बनता है भगवान राम कहतेहैं सुनोमै चक्रवर्ती महाराज की दसरथ का पुत्र राम हूंअतः मुझे यह अधिकार है कि यदि कोई पसु समाज के द्रोही, हिंसक, व जीव को हानी पहुंचाता होतो राजा का अधिकार है कि उसै मार दिया जाय क्रमशः",HOF,OFFN
"@Jagratichandra1 मैं तुम्हारी यादों को कैसे  ""Block"" करूँ ""कमीने""   दिल में तो ये ""Option"" ही      नही है..✍",NOT,NONE
@yadavtejashwi सब याद रखा जायेगा.. #JusticeForShahabuddin,NOT,NONE
#राजदपार्टी बेवफ़ा औरतों जैसा है जितना जल्द हो सके सभी मुस्लिम विधायक और सांसद इस्तीफा दे दे #JusticeForShahabuddin,NOT,NONE
"आज शर्म से आंखें झुक गई  @narendramodi को क्यों चुना रक्षा करने के लिए या महंगाई के लिए या रोजगार के लिए आपने क्या दिया,,, मौत #BengalBurning",NOT,NONE
#ModiKaVaccineJumla #ModiResign #IndiaFightsCorona #PMCaresFund_का_हिसाब_दो #PMDoesNotCare https://t.co/TH0wgGFB3n,NOT,NONE
"किसी भी तरह का इस नंबर से reply नही हुआ..क्या मैं(कल की तारीख़ में अगर कोई जान या जानवर करंट आने पर मरता है,जो अभी नही आया ""करंट"" कल को आ जाये तो कौन जिम्मेदार)एक बड़े हादसे को रोकने के लिए आप से निवेदन.ऊपर बच्चे रहते हैं(जैसा कि आप वीडियो में देख सकते हैं)  @CMOfficeUP @KESCoHQ https://t.co/ixSVqEoRUU",NOT,NONE
यह ख़ौफ़ की आहट हैं या मौत का सन्नाटा है   @varungandhi80  @msisodia @sahitya_tak @Javedakhtarjadu @SwetaSinghAT @Drnawazdeobandi @anupamaraag1 @juniorbachchan  #IndiaCovidCrisis #OxygenCrisis https://t.co/GoYKYdXc69,NOT,NONE
"गांधी खानदान को गांधी की पड़पोती ने सिद्ध किया बस सात साल जेल,यहां क्यों वेल पर घूम रहे है कमीने?",HOF,OFFN
"जल गई लासे, हो गई राख  घर आके सोई गये फिर से  #गुलाम  #FightForRight #ResignModi https://t.co/SFCJwqTfh7",NOT,NONE
#Shamemamatabannerjee #राष्ट्रपति_जी_बंगाल_संभालो  #MamataBanarjee  #BengalBurning https://t.co/CepcxY961N,NOT,NONE
"@yogrishiramdev लाला जी,  इतने फूहड़ हथकंडे अपना कर अपना नकली उत्पाद बेचने की इतनी बेशर्म प्रदर्शन के बदलें कोई और काम नही मिलता क्या ?",NOT,NONE
@SudarshanNewsTV @SureshChavhanke सुअर तेरे कितने रूप,HOF,OFFN
"@Sujata1978 ऐसे जानवर हर दूसरे घर में भरे पड़े हैं, सख्त अफ़सोस की बात है...सब वाकिफ़ हैं पर सब भुला दिया जाएगा चंद पलों में.. जैसे स्त्री मनुष्य ही ना हो, उसकी इज्‍जत, सम्मान, भावनाओं का कोई मोल ही ना हो... हद है   क्या वहां कोई भी ऐसा पुरुष नहीं था कि अपना जूता प्रयोग कर पाता...",HOF,HATE
@ghaziabadpolice @Uppolice @amitpathak09 @adgzonemeerut @igrangemeerut @AmarUjalaNews @AHindinews @NavbharatTimes @Live_Hindustan @TOINoida @dgpup क्या गाजि़याबाद पुलिस इस अज्ञानी मुर्ख नरसिम्हानंद सरस्वती को गिरफ्तार नही कर सकती??क्या गाजि़याबाद पुलिस पर किसी का दबाव है क्या जो अबतक इस नरसिम्हानंद सरस्वती को गिरफ्तार नही किया गया?? देश के हर शहर से इस नरसिम्हानंद सरस्वती के खिलाफ FIR हुयी फिर भी इसे गिरफ्तार नही किया गया😡 https://t.co/e89XIYKzWD,HOF,OFFN
@mridz_twt भाड़ में जाओ तुम प्यारी,NOT,NONE
जो शहाबुद्दीन के साथ हुआ वो आज़म खान के साथ नहीं होना चाहिए इसलिए आइए हम सब आवाज उठाते हैं #JusticeForShahabuddin,NOT,NONE
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/hYv7yPSRiX,NOT,NONE
"@jviplav मोदी विरोधियों को बंगाल की हिंसा में भी लोकतंत्र नज़र आ रहा है... इसलिए सब के सब मुँह में दही जमाये बैठे हैं!  ""असहिष्णुता...संविधान की हत्या"" जैसे शब्द अब डिक्सनरी से गायब हैं!! #BengalBurning",NOT,NONE
इस देश में आतंकी की लाश उसके घर वालों को मिल सकती है दलालों की लाशे उसके घर मिल सकती है पर यहां खत्म होने के बाद भी  आखिरी rusumaat नहीं कर सकते।😡😠 लानत हो ऐसी सरकार पे खुदा गारत करें निकम्मी सरकार को। #JusticeForShahabuddin,HOF,HATE
भाजपा की केंद्र मे पूर्ण बहुत की सरकार है बंगाल में 18 सांसद और करीब 80 विधायक है फिर भी उस दल का राष्ट्रीय अध्यक्ष धरने पर है ये ऑस्कर वाले कहाँ मर गये नड्डा जी को अवार्ड क्यों नहीं दे रहे हैं..!! @SunitaDuggal7  @JPNadda  #BengalBurning,HOF,HATE
"यह भेंस चोर दुसरो को अपना बाप बनाकर अपनी नाजायजी क्यु प्रस्तुत कर रहे हैं, ओर साथ में ट्विटर पर अपनी नेशनल ओर इंटरनेशनल बेइज्जती करवाने से बाज़ नहीं आते..!! #RajputSamratPrithvirajChauhan",HOF,HATE
बंगाल में ममता रंडी की सरकार है! सारे मुल्ले  इसके भड़वे बन गया है! आसाम का बदला बंगाल में ले रही है ममता रंडी! बंगाल का बदला भाजपा शासित राज्यों में ले हिन्दू! दूसरा कोई रास्ता नहीं है! अन्यथा हिन्दुओं को अपनी  इज्जत की नीलामी खुद अपनी ऑंखों के सामने  देखना पड़ेगा! https://t.co/JNwdhX46H8,HOF,OFFN
#JMDNewsFLASH भारत की मदद को बढ़े हाथ जर्मनी से आए 4 क्रायोजेनिक ऑक्सीजन कंटेनर #Oxygen  #OxygenCrisis  #Germany  #India  #IndiaCovidCrisis  #IndiaNeedsOxygen https://t.co/28nT8kcXyi,NOT,NONE
"लालु जैसे बाल्टी में दूध बेचने वाले नेता,  ""तब"" बनते हैं   ""जब"" उनके पीछे ""शहाबुद्दीन"" जैसा  शेर होता है!🔥 @007QaQa @yadavtejashwi @laluprasadrjd @BagwanMaheboob1 #JusticeForShahabuddin",NOT,NONE
शहाबुद्दीन साहब की मौत की गई है ना की उसको COVID-19🦠😷 था #JusticeForShahabuddin,NOT,NONE
@JPNadda तो आप ट्वीट करने के अलावा और कर भी क्या रहे हैं? #BengalViolence #BengalBurning,HOF,OFFN
@uhbvnpkl बस आपकी अति कृपया होगी मुझे ये बताइए line man 9812063026 और जैई 9812063027 क्या ये मौज करने के लिए है नम्बर बंद करो और आराम से सो जाओ पब्लिक भाड़ में जाए,NOT,NONE
"कनाडा में एक मुस्लिम परिवार के 4 फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है। यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैर-मुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक ""इस्लामिक आतंकवाद"" का रंडी-रोना रो रही होती। #IslamophobiaIsTerrorism",HOF,HATE
रायगड और मेवाड़ भी धरना देते यो क्या होता हमारा @BJP4India @narendramodi @AmitShah ?????  #BengalBurning,NOT,NONE
मैं किसके हाँथ में अपना लहू तलाश करूँ    की तमाम शहर ने पहने हुए हैं दस्ताने    #JusticeForShahabuddin             @SadabRaza10               @AyubRizvi1              @FaizAlam114             @masood2alam,NOT,NONE
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/qh8xAtJsd6",HOF,OFFN
आज़म खान साहब का इलाज AIIMS में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते😢🙏 #JusticeForShahabuddin,NOT,NONE
@AbdurRahman_IPS @myogiadityanath जैसे ढोंगी और गुंडे लोग ज्यादा खतरा है समाज के लिए  ऐसे कमीने लोग सत्ता में बने रहने के लिए किसी भी सीमा तक जा सकते है!,HOF,OFFN
"5G नेटवर्क चीन का नहीं आ रहा है पूर्ण स्वदेशी jio ला रहा है इसलिए चिन की दलाल अपने इटालियन भाभी जी के जरिए अफवाह फैला रहें हैं ..!  5G से चिड़िया मर रही है मच्छर क्यों नही मर रहे , रोज़ खून पी रहे है ट्विटर के चमचों जवाब दो ?",HOF,HATE
@Pratyangira1 @Tithi_Mishra @narendramodi @JPNadda @AmitShah @DilipGhoshBJP @SuvenduWB @me_locket @ABVPVoice @BJP4India @p_sahibsingh @Tejasvi_Surya @ArjunsinghWB @me_sourish_ @RSSorg @VHPDigital @devyanidilli @Dibakar65112523 @tathagata2 @Bunibroto @rashtrapatibhvn @jdhankhar1 @MukulR_Official @mithunda_off @ippatel Common RSS cadre from North India on #BengalBurning :  धरना के बाद चरखा भी ट्राई करो कहते है अंग्रेज डर कर भाग गये थे 😥😥  #PresidentsRuleinBengal  @PrinceArihan @myogiadityanath,NOT,NONE
"महारानी कहकर पुकारो तो कहेगी, और कितनी रानियाँ रखे हो।  रानी कहकर पुकारो तो कहेगी, मै रानी तो महारानी कोई बाहरवाली होगी।  चुप रहो तो कहेगी जैसे मुंह सिला हो,आप ही बताओ क्या कहूं ?😃😃",NOT,NONE
ये जो मासूम हिन्दुओं की चिताएं जल रही हैं और अर्थीयो का अपमान हो रहा है..  ये सब राजनैतिक धर्मान्धता और गलत नेताओं की गुलामी का इनाम है!  #IndiaNeedsOxygen  #indianeedoxygen  #IndianLivesMatter  #Oxygen  #OxygenCylinders  #Congress  #RahulGandhi  #ResignModi  #ModiKaVaccineJumla,HOF,HATE
@iAakankshahere @ArvindKejriwal इसके फ्री के चाटुकारों व देश के गद्दारों की वज़ह इसका रंडी रोना चल रहा है वरना यह तो जिसमें कुत्ता खाये उसमें खिलाने लायक है दोगला महाझूठा 😡,HOF,OFFN
"@shahtariq39 @ppbajpai तुम चुप रहो भाईजान, तुम्हे क्या है न तुम कानून के न संविधान के। तुम्हारे भाई बंध इसी tax के पैसे से 10 10 बच्चे खिला पिला रहे और योगदान 0।",HOF,OFFN
@AmarSinghKahar5 @beingarun28 चुनावी हिंसा पर धरना देने वालों ऑक्सिजन की कमी और कोरोना से हो रही मौतों पर भी धरना दे दो। हिन्दू तो इसमें भी खतरे में है। हिंदू तो यहाँ भी मर रहा है। बस politics ही करनी है ऐसा बोलो ना।  लेकिन शर्म इनको आती नहीं। #BengalBurning  #PresidentsRuleinBengal #PresidentRuleInBengal,NOT,NONE
@UPENDRA57815086 बिलकुल सही अंकल जी देखकर ही गुस्सा आता है जब ये विश्लेषक की तरह नही एक दलाल की तरह बात करता है,HOF,OFFN
"#Elections2021 #ResignModi  #Resign_PM_Modi  Resign modi  लोगो के मरने से  डर नही लगता, सत्ता जाने से लगता है। https://t.co/RYwatRTbak",HOF,OFFN
क्या कोरोना की तीसरी लहर का असर बच्चों पर होगा?  #Coronavirus #COVID19 #CovidVaccine https://t.co/MovYeAl53b,NOT,NONE
टीकाकरण अवश्य करायें  #vaccination  #covidvaccine #18plusvaccination #cgfightscorona https://t.co/DHpwTTTMiP,NOT,NONE
@ArmaanS13738198 Why you are giving us so much attention if we r fake farmers? #PrayForFarmersVictory  #देश_ऑक्सीजन_मांगता_है #ResignModi #FarmersProtest,NOT,NONE
हक की आवाज को मजबूत कीजिए एक बार फिर से लिखिए #JusticeForShahabuddin,NOT,NONE
@New_India9 कुत्ता वफ़ादार होता हैं मैडम।,NOT,NONE
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/peNJfYdTY3,NOT,NONE
शहाबुद्दीन साहब इकलौता सांसद जिन्होंने कारगिल युद्ध में पाकिस्तान के खिलाफ लड़ने की अनुमति मांगा थी।  तुम उस वक्त बकरी चोरी और साइकिल चोरी में व्यस्त थे देश और देश की आन बान शान के लिए कई किस्ते दे चुके हैं हम अपने खून की 😥😥  #JusticeForShahabuddin  #kargil,NOT,NONE
"@KhanAmanatullah @OsamaShahab_ @PMOIndia लालू की रिहाई की कीमत शहाबुद्दीन साहब की जान से चुकाई गयी है, RJD की खामोशी इस बात की गवाह है। Tejashwi Yadav दिल्ली में होने के बावजूद हॉस्पिटल नही पहुँच सकें।  ये वक़्त भुला नही जाएगा।।   इमरान भाई अमानतुल्लाह खान आपको सलाम #StandwithOsamaSahab  #JusticeForShahabuddin",HOF,HATE
लोग मर रहें हैं #बंगाल_हिंसा में ! और ये धरना दे रहे हैं एयर कंडिशन्ड हाल के अंदर । हद्द हरामखोरी है । कोई क्यों करें इन पर विश्वास ??? #BengalElection2021  #BengalBurning https://t.co/8GNj2uMUcW,HOF,HATE
@MinakshiKandwal @KumarVikrantS 5. डेड बॉडी देने में किसी भी तरह की कोई दलाली नहीं होनी चाहिए  ये #फैक्ट लॉजिक वाला फैक्ट है जैसे   #सरदाना की बॉडी को उसके गांव भेज दिया गया तो #शहाबुद्दीन की बॉडी को #दिल्ली में क्यों दफनाया गया उनके गांव क्यों नहीं भेजा गया...???  #SupportOsamaShahab  #JusticeForShahabuddin,NOT,NONE
@Thanos_pandith मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
@MimrotReena सिद्ध कर दिया अग्रेंजो की नाजायज औलाद कौन है। हिन्दी व हिन्दुस्तान पर हमे गर्व है।,HOF,OFFN
व्हाट्सएप पर यह वीडियो प्राप्त हुआ कहां का है यह पता नहीं चल पाया वीडियो देखकर दिल दहल गया सड़क के एक किनारे पर बैठी गोवंश को इस तरह ट्रैक्टर ट्रॉली से कुचला इस सुअर ने।  😡 @TheDeepak2020In @TheDeepak2020  @deepaksharmazad  @YogiDevnath2 @TigerRajaSingh https://t.co/KnqG5uo36H,HOF,OFFN
"सीताराम येचुरी ने पीएम मोदी से पूछा- लोग मर रहे हैं, लेकिन नई संसद का निर्माण क्यों जारी है #Modi #ModiMadeDisaster #Resign_PM_Modi #ResignModi #coronavirus #Corona #CovidVaccine #COVIDSecondWave #BJP https://t.co/LlKltxhqKD",NOT,NONE
"दिल्ली कर्मचारियों का मजाक बनाया जा रहा है जबकि बिजली कर्मी दिन-रात अपनी सेवाएं दे रहे हैं गलत रूप से अवैध रूप से पुलिस के द्वारा नेताओं के दबाव से गलत एफ आई आर की गई, इसे तत्काल वापस लिया जाए एवं दोषियों पर कार्रवाई की जाए https://t.co/HTz7bx26NZ",NOT,NONE
"जीतने पे ये हाल है, जरा सोचो अगर हारी होती तो क्या होता??  #BengalBurning  #PresidentsRuleinBengal  #SaveBJPKaryakartas  #SaveBengalFromTMC",NOT,NONE
"ज़िंदगी के रथ में लगाम बहुत हैं,अपनों के अपनों पर इल्ज़ाम बहुत हैं,ये शिकायतों का दौर देखते हैं तो थम से जाते हैं,लगता है उम्र कम है और इम्तिहान बहुत हैं! #ModisCrimeAgainstIndia #ResignPMmodi  #SpinelessBJP #coronavirus #wednesdaythought #Oxygen4All #BeHuman #OxygenMan #fakenews",NOT,NONE
"@vinodkapri झूठ से पैदा हुआ है ये लणैन्द्र मोदी ,  जिसकी मां की  गारेंटी तो पर बाप की कोई गारेंटी नही।। #ModiKaVaccineJumla",HOF,OFFN
ना तुम कल हारे थे ना आज हारे हो   #JusticeForShahabuddin https://t.co/f2N3KeGHtm,NOT,NONE
रंगा बिल्ला के खिलाफ लिखने पर ट्विटर भी नाराज चल रहा है आजकलl रोज 5-10 फॉलोअर्स कम कर रहा हैl #ModiKaVaccineJumla #ModiDisasterForIndia #ModiMustResign,NOT,NONE
"कहते है मरते है तु मरने दो , मुर्दा लोग शोर करने से कहाँ जिंदा होया करते है। साहब शोर जिंदा लोगों को बचाने के लिये है।पर आप क्या जाने जो जिंदा लोगों को भी मुर्दा समझ के छोड़ दिया करते।साहब को तू जुमला कहने की आदत है।मुर्दा घर में भी इन लाशों के लिए जगह कहाँ है।🙏#IndiaCovidCrisis",NOT,NONE
@BIcYlNM7hmtJgVC @NareshSetia4 @SanatKumarKhan2 @brajeshlive मेरी ही गलती है मै वैश्या पुत्र के मुंह लग गया ।,HOF,OFFN
"#CruelMamata तेरा नर्क बनते लोग यही देखेंगे, बूढे लाचार और बच्चों पर अत्याचार तुझे नष्ट कर देगा.  #BengalViolence #BengalBurning  @MamataOfficial https://t.co/53Ar1PPips",HOF,OFFN
#25सांसद_लापता_है #ModiMadeDisaster #ModiKaVaccineJumla #ModiMustResign #BjpDestroyedIndia #bjp_mp_mlamissing @MahuaMoitra @PMOIndia https://t.co/W7eDXQivkq,NOT,NONE
@taapsee मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
सुना है ये मादरनीय D K bose @news24tvchannel के एंकर हैं। ट्विटर पर हैं क्या? #ChineseVirus #COVID19India https://t.co/4HlvfxyAaO,NOT,NONE
थोड़ा और कोशिश करे  #JusticeForShahabuddin,NOT,NONE
"इस राजनीति को देख कर मुझे इन लोगों पर गुस्सा भी आता है और दया भी आती है। अपना क्या हाल कर लिया है इन लोगों ने, अंधी राजनीति, अंधी नफरत, और अंधी कुर्सी दौड़ में  ये कभी के क्रान्तिकारी अब हास्यास्पद विदूषक हो गए हैं ।   #BengalBurning",NOT,NONE
बंगाल की विधवा!  @narendramodi @AmitShah @PMOIndia @RSSorg @BJP4India #RSS #RSSTerrorists #Rss_terrorists #RSS_चीन_से_लड़ो  #rss_देश_के_दुश्मन_की_दुश्मन  #Islamophobiainindia #Islamophobia #BJP #bjp4india #NarendraModi https://t.co/ufnGacCTOM,NOT,NONE
धवन मदरचोद ज़िंदा है मर गया 😁😁😁,HOF,PRFN
@ANI जादवपुर के बीजेपी उम्मीदवार रिंकू नस्कर के घर पर टीएमसी के गुंडों ने किया हमला  #TMCTerror #BengalBurning https://t.co/LBpLaqMVjK,HOF,HATE
"रोहित सरदाना कोरोना पॉजिटिव क्रियाकर्म कुरुक्षेत्र (हरियाणा) शाहबुद्दीन साहब कोरोना  नेगेटिव दफन हुए ITO दिल्ली , आखिर क्यों ??  #JusticeForShahabuddin  #OsamaShahab  @ShayarImran @yadavtejashwi @RJDforIndia @patna_RJD @PMOIndia @MoHFW_INDIA  #StandWithOsamaShahab  #Osama_Shahab https://t.co/fmTd1hyDqV",NOT,NONE
@PANKAJPARASHAR_ कुत्ता हरामज़ादा कहीं का,HOF,PRFN
अब भी अगर कोई मुस्लिम नेता बिहार में MY का रागा अलापता है तो वह मुसलमानों का नेता नहीं दलाल है #JusticeForShahabuddin  #JusticeForShahabuddin,NOT,NONE
