Post,Labels Set,Dataset
இந்திய ஒன்றியம் கிறித்தவ நாடு இல்லை! மதசார்பற்ற நாடு.,Non-Hate-Speech,tamil_dataset
Ammu Ammupappa குடுத்துட்டாங்கம்மா கொடுத்துட்டாங்க 😭😭.....,Non-Hate-Speech,tamil_dataset
அருமை நண்பா 👌,Non-Hate-Speech,tamil_dataset
அனைவருக்கும் வணக்கம் தமிழ்   பேசுவோம்.. ஆணும் பெண்ணும் கல்யாணம் பண்ணனும் சொல்ற எல்லாருக்கும் ஒரு விஷயம் தெரிஞ்சுனும் உங்களுக்கு யார் இதை சொன்னாங்க... ச*** பண்றது எப்படின்னு சொல்லிக் கொடுத்தாங்களா.. யாருக்கு யாரும் சொல்லிக் கொடுப்பதில்லை யாருக்கு யார் மேல் காதல் வருவது என்று தெரியவில்லை ஆணும் பெண்ணும் தான் வாழ வேண்டுமென்றால் அதர்ஷ் பிபிள் எல்லாம் செத்துப்போவனுமா....,Non-Hate-Speech,tamil_dataset
"மனஸாட்சிக்கும் , நம்பியவர்களுக்கும் , தெய்வத்துக்கும்  நேர்மையாக​  இருக்க​  வேண்டும், ஒழுக்கத்தை உயிரினும் மேலாக​ கருதவேண்டும்,  பிரர்  உடமைகளுக்கு  ஆசை  படக்கூடாது,  பிரர்  மனம்  நோகும்  படி  நமது  செயல்கள்  இருக்ககூடாது,  யாரையும்  நம்பவைத்தோ  கூடவே  இருந்து  குழி  பறித்தோ  கழுத்தறுத்து  லாபம்  அடையக்கூடாது, பொய்  புரட்டில்  ஈடுபடக்கூடாது,  பிற​  உயிர்களை மதிக்கவேண்டும், மற்றபடி  ஒரு  மனிதனுக்கு  தன்  விருப்பபடி  வாழ்கையை்  அமைத்துக்கொள்ளவும்  அதன்  படி  வாழ்ந்துகாட்டவும்  முழு  உரிமையும்  சுதந்திரமும்  உண்டு.; நீதிமன்றத்தின்  இந்த​  தீர்ப்பை  நான்  முழூ  மனதோடு  ஆதரித்து  ஆத்மார்தமாக​  ஏற்றுக்கொள்கிறேன்.",Non-Hate-Speech,tamil_dataset
மனித இனம் விரைவில் அழியும்னு சொன்னாங்க . அப்ப நான் நம்பவில்லை . அப்ப புரியவில்லை.இப்ப புரியுது,Hate-Speech,tamil_dataset
பப்ளிக்ள போனா உங்கள் மாறி ஆளுங்க violence கெளப்பிட்டு இருப்பீங்கனு தான் அதிகமா வெளிய தல காட்ல போல!,Hate-Speech,tamil_dataset
மதத்தையும்...சாதியையும் முருக கட்டி பிடித்து கொண்டிருப்பவர்களுக்கு இது தவறு  .,Non-Hate-Speech,tamil_dataset
இது ஒரு மன நோயாளி நீ சொன்ன எல்லாத்துக்கும் தண்டனை உண்டு சட்டப்படி குற்றம் அதை இதோடு செற்காத முட்டாள்  எந்த மதத்திலும் இல்லை என்றால் மதத்தை உருவாக்கின யார் என்று எல்லாத்தையு யார் உருவாக்கினாங்க என்று கேட்டால் முடிவே இறிக்காது ஆதிகால மக்கள் இதல்லாம் செய்து தவறு  என்று அறிந்து வளர வளர தவறு களை கலைந்துதான் இந்த இடத்துக்கு வந்திருக்கிறார்கள் அப்போ பழமை காலம் போல் எல்லாரும் எல்லோருடனும் உஉறவு வைத்துக் கொள்ளலாமே மிருகம் இனப் பெருக்கத்துக்கு பாலியல் வைக்கிது அதே போல் மனிதனும் பாலியல் வைத்திட்டு போகலாமே என்று முட்டாள் தனமா கேற்கிறால் மிருகம் பிறந்தவுடனே நடக்க துடங்கும் அதுதான் இயற்கை மனிதன் பிறந்தவுடன் நடக்க மாட்டான் முட்டாள் பதில்கள் இந்த இனங்களுக்கு இறைவன் நம்பிக்கை இருக்காது காரணம் கடவுளை படைத்தது யார் என்று கேட்பானு(ளு)ங்க இப்படியே கேட்டுட்டு போனால் முடிவே இருக்காது அப்போ இறைவன் அனைவரையும் ஆணாகவோ பெண்ணாகவோ படைத்து இருக்கலாமே இது இயற்கைக்கு புறம்பானது,Hate-Speech,tamil_dataset
உலக முடிவு  என்பது.... நீதிபதியிடம் இருந்து.... ஆரம்பம் ஆகிறது......,Hate-Speech,tamil_dataset
"இந்தியா ல பல நூற்றாண்டுகளுக்கு முன்பே இருந்த விஷயம், ஆழ்வார்கள் ல ஒருத்தர் இத பத்தி பாடல் எழுதி இருக்கார், கோவில் சிற்பங்கள் ல இருக்கு. வெள்ளையர்கள் தான் இத எதிராக பார்த்தாங்க, அதுக்கு அப்புறம் அவங்களே ஏத்துக்கிட்டாங்க,நாம இப்ப தான் அங்கிகாரம் குடுத்து இருக்கோம், இதையும் இந்த பைத்தியங்க எதிர்க்குதுங்க.",Non-Hate-Speech,tamil_dataset
ஐயப்பன் பிறப்பை ஆதரிக்கின்றவர்கள் ஏன் இதை கொச்சை படுத்துகிறார்கள்,Non-Hate-Speech,tamil_dataset
Motivating Atma என் பொண்ணு பார்க்க போறியா 🤣,Non-Hate-Speech,tamil_dataset
"Suresh Matthew இயற்கைக்கு புறம்பானது உணர்ச்சிகள மறைக்கறது தான், இது எவனும் சொல்லி குடுத்து வரது இல்ல, இயற்கையா தானா அவங்களுக்கு வர உணர்ச்சி தான், சும்மா இயற்கைக்கு புறம்பானதுனு உளராதீங்க",Non-Hate-Speech,tamil_dataset
இனி அடுத்தது அனிமெல் செக்ஸ்க்கு  அனுமதி கிடைக்கும்டா,Hate-Speech,tamil_dataset
elsa anna ஓரினசேர்க்கை.,Hate-Speech,tamil_dataset
"இது ஈரோடு இல்ல,",Non-Hate-Speech,tamil_dataset
இனி ஆண்கள் பாலியல் பலாத்காரம் மற்றும் வன்கொடுமை நடக்கும்.,Hate-Speech,tamil_dataset
கண்ணீர் வருகிரது frds. அரவாணிகளை தெய்வம் போல சித்தரித்த உங்களுக்கு என் சிரம் தாழ்ந்த வணக்கங்கள்.. நீங்க நல்லா வருவீங்க,Non-Hate-Speech,tamil_dataset
bro நீங்க பேசறதெல்லாம் கேக்க கேக்க இரவு துக்கம் வரமாட்டங்குது,Non-Hate-Speech,tamil_dataset
அந்த மனசு தான் சார் கடவுள்.,Non-Hate-Speech,tamil_dataset
"24 வருடமாக போராடி இப்ப தான் LGBT மக்களுக்கு அங்கீகாரம் கிடைச்சிருக்கு, உங்க channel publicity ஆவதற்கு LGBT community மக்கள negativa காட்டி கேவலப்படுத்தாதிங்க pls 🙏",Non-Hate-Speech,tamil_dataset
Good technical மளினி கேள்விக்கு பதில் சொல்லாமல் திரும்ப கேள்வி கேட்டு மடக்கிறா.,Non-Hate-Speech,tamil_dataset
மனசு யாருக்கு சார் வரும்  Super akka,Non-Hate-Speech,tamil_dataset
நீங்கள் ஒரு திருநங்கை என்பதை நம்பவேமுடியவில்லை. மிகவும் அழகாக இருக்கிறீர்கள் . ஒரு சராசரி பெண்னை  விட ............................ வாழ்த்து.,Non-Hate-Speech,tamil_dataset
அருமையான பதிவு நண்பா இந்த பதிவு பார்க்கும் போது எனக்கு ரொம்ப வேதனையாக இருந்தது நண்பா,Non-Hate-Speech,tamil_dataset
திருநங்கைகளின் கஷ்டத்தை நீங்கள் சொன்னீர்கள் i like you 👌🙏,Non-Hate-Speech,tamil_dataset
நல்லா அழகா மரியாதையா பேசுறீங்க...,Non-Hate-Speech,tamil_dataset
Kaviya Kalaivani பார்த்து இருப்பாங்க,Non-Hate-Speech,tamil_dataset
"யார் யாருடன் புணர வேண்டும் என்பதை கடவுள் முடிவு செய்துள்ளார்....இனிமே உங்க கிட்ட பேசி பயன் இல்ல .நான் கடவுளே இல்லனு சொல்றவன் .நான் எப்படி வாழணும்னு  ஏதோ ஒரு மத புத்தகம் சொல்ல கூடாது .ஏதோ ஒரு கடவுள் சொல்ல கூடாது .ஏன் வாழ்க்கை நான் முடிவு பண்ணதா இருக்கும் .ஒரு உணர்வுக்கு மதிப்பு குடுக்க தெரியாத மதம் எனக்கு தேவை இல்லை .மத புத்தகத்துல உடன் கட்டை ஏறுதல் ,இருந்துச்சி .அதையும் நடைமுறை படுத்தலாமே .",Non-Hate-Speech,tamil_dataset
அழகு. சொல்லாடல்கள் திருமதி ஜெயந்தி நடராஜன் போலவே இருக்கிறது ❤️❤️❤️🙏,Non-Hate-Speech,tamil_dataset
நான் பாத்த திருநங்கைலாம் என்கிட்ட காசு கேட்டதே உருவ கேலி பண்ணி மிரட்டி கெட்டவங்க தான் இவங்கள ஆளுங்க ரொம்ப கம்மி உண்மை அதான்,Non-Hate-Speech,tamil_dataset
"ஒருவன் பெண்ணோடே சம்யோகம் பண்ணுகிறதுபோல ஆணோடே சம்யோகம்பண்ணினால், அருவருப்பான காரியம் செய்த அவ்விருவரும் கொலைசெய்யப்படக்கடவர்கள், அவர்கள் இரத்தப்பழி அவர்கள்மேல் இருப்பதாக.; ; லேவியராகமம் 20:13",Hate-Speech,tamil_dataset
இயேசுகிறிஸ்து மனிதர்களுக்காக சாபமானார்,Non-Hate-Speech,tamil_dataset
நாட்டுக்கு நல்லவனே ஊர்மேல போனவனே,Non-Hate-Speech,tamil_dataset
உ ங்கள் மனித நேயத்திற்கு வணக்கங்கள்,Non-Hate-Speech,tamil_dataset
இந்த மனம் தான் சார் இறைவன் 😥😥😥,Non-Hate-Speech,tamil_dataset
யோவ் நீங்க ரொம்ப நல்லா பண்றீங்க தயவுசெய்து போர் அடிக்கிறது மாதிரி பண்ணீடாதீங்க நன்றி. Keep it up anna thanks,Non-Hate-Speech,tamil_dataset
எனக்கு உங்களை ‌எல்லாம் ரொம்ப பிடிக்கும்  உங்கலை நான் ஒரு கடவுள் மாதிரி தான் நினைக்கிறேன்,Non-Hate-Speech,tamil_dataset
"நமது கலாச்சாரத்திற்கு ஏற்புடையதல்ல,அவ்வளவுதான் சொல்ல முடியும் ,",Hate-Speech,tamil_dataset
திருநங்கை   SENNiLA  அழகான  முகம்  அழகான  பேச்சு  எனக்கு  திருமணம்  ஆக வில்லை   ஆருதலாக   பேச  உங்கள்  வாட்ஸ்சாப் நம்பர்  தருவிர்களா  உங்களுக்கு  எதேனும்  உதவி  செய்ய வேண்டுமா  என்ன முடிந்ததை  செய்கிறேன்,Non-Hate-Speech,tamil_dataset
ரொம்ப அட்ற பேக்கூதி,Hate-Speech,tamil_dataset
I am venkatesh போடா தேவிடியா தேவிடியா  தேவிடியா தேவிடியா  புள்ள,Non-Hate-Speech,tamil_dataset
நீங்களும் தேவனுடை சாயலே. தைரியமாய் நில்லுங்கள்,Non-Hate-Speech,tamil_dataset
Nishanthini Krishnamoorthy அட டேய் சாபம்  விடுறீங்களோ  🤣🤣🤣🤣🤣 ஏன்  டா இப்படி  பிறந்தநாள் பிச்ச எடுக்குறீங்கன்னு  கேட்டது  ஒரு  குற்றமா,Non-Hate-Speech,tamil_dataset
ஆண் பெண் என இருப்பாலினம் எதற்காக படைக்கப்பட்டதோ அதன் எதிர்வினைதான் இந்த ஓரினச்சேர்க்கை வாழ்க்கை வீணாக போகிடும்...ஒன்றும் இல்லாத இந்த முறையற்ற பாலின கவர்ச்சியால் என்ன நிகழ்ந்திட போகிறது.... ஆண் பெண் புணர்தலே மனதளவிலும் நன்மை பயக்கும்,Hate-Speech,tamil_dataset
கண்கள் குளமானது. சாலையில் கண்ட ஒரு திருநங்கை தேவதை. அன்புள்ளம் கொண்ட இந்த அழகி பல்லாண்டு வாழ்க.🙏,Non-Hate-Speech,tamil_dataset
இதே மாதிரி செஞ்சிங்கன்னா மொத்தமா வெறுத்து இன்னும் புரம் தள்ள ஆரம்பித்து விடுவார்கள் உங்கள் நிலைமை இன்னும் மோசம் ஆகிடும் திருநங்கை  அமைப்புகள் இதுபோன்ரவர்களை உடனே சரிசெய்ய வேண்டும் இல்லையே அதிகமான இழப்பை திருநங்கை நல்லோர்களும் ஏற்பீர் யாசகம் கேட்பது இழுக்கு உங்களுக்குவேலைதருவது இல்லை  அதனால் யாசகம் பெறுகிறோம் என்கிறிர்கள் பரவாயில்லை அதைபெறும் பொழுது எவ்வளவு கொடுத்தாலும் மனதார பெற்று உலமார வாழ்த்தனும்  எனக்கு இவ்வளவு தான் தரனும்  போடா வாடா   என்றுகெட்டவார்த்தைகளை பிரவேகிப்பது  அருவருக்க கண்டிக்க தக்கது இது போன்று போட படும் கானொழி உலகம் முலுவதும் சென்ரடையும் பிறகு திருநங்கை என்ராலே மக்கள் முகம் சுலிக்க ஆரம்பித்து விடுவார்கள்  உங்கள் முன்னேற்றம் கேள்வி குறி ஆகும் வீடு கிடைக்காது வேலைகிடைக்காது இன்னுல் சொல்லோலா இன்னலை பெறுவீர்கள் திருநங்கை அமைப்பு சிநேகிதி தாய்மடி பாரதி கண்ணம்மா கல்கி போன்ர அமைப்புகள் இந்த சமூக பிரச்சனைகளை கழைய முன் வாருங்கள்,Non-Hate-Speech,tamil_dataset
Jose Morphin சுய புணர்ச்சி அப்படினா என்ன,Non-Hate-Speech,tamil_dataset
நண்பா உங்க நடிப்பு வேற லெவல்  காஞ்சனா படத்தையும் மின்சிட்டிங்க,Non-Hate-Speech,tamil_dataset
தவறை யார் செய்தாலும் அது தவறே.. தி வேலை கொடுக்கமாட்டார்கள் என்று யார் சொன்னது.. வேலை செய்து பிழைப்பு செய்யும் திருநங்கைகளும் உண்டே...பெரும்பாலானோர் உழைப்பதற்கு தாயாரில்லை என்பதே உண்மை..,Non-Hate-Speech,tamil_dataset
அன்பு என்னும் உறவுக்கு தவறு செய்ய கூட நினைக்காத ஒரு உறவு.திருநங்கை  அன்பின் உருவம்.She is so respectful bro.உண்மையாவே கண்ணெல்லாம் கலங்குது.சாமி னு அம்மாவையும் திருநங்கை களையும் தவிற வேற யாரும் கூப்பிட மாட்டாங்க.நீங்க நல்லா இருக்கணும்.🙏🙏🙏,Non-Hate-Speech,tamil_dataset
திருநங்கைகளை பழித்தால் அதற்கும் சட்டம் இயற்றப்பட வேண்டும் அவர்களும் மனிதர்கள்,Non-Hate-Speech,tamil_dataset
ஏன் தவரென்ன ஒர் இன சேர்க்கை உண்ணதமானது அன்பு எப்படி வரும் எப்போது வரும் தெரியாது ஆனும் ஆனும் உறவாடுவது பத்தி முன்பு எனக்கு தெரியாது ஒரு சமயம் நான் வேளாங்கண்ணி போனேன் பிரார்தனை முடிந்து சேலம் போவதற்கு நாகப்பட்டிணம் வந்தேன் அப்படயம் இரவு ஒரு மணி பஸ் 4 மணிக்கு என்றார்கள் பஸ்ஸ்டாப்பில் பயணியர் இருக்கும் இடத்தில் ஒரு ஒரமாக படுத்தேன் அந்த சமயம் வேகமான மழை கூட்டம் அதிகமாகி விட்டது என் பக்கத்தில் ஒரு 65 வயது மதிக்கதக்க ஆள் வந்து படுத்தார் அவர் நெய்வேலி போகனும் என்றார் அப்படியே தூங்கினேன் திடீர் என்று எனக்குள் ஒரு உணர்வு கண் விழித்து பார்த்தால் அந்த நாள் என் உதட்டை கவ்வி சுவைத்து கொண்டு இருந்தார்கட்டி அனைத்து முத்தம் இட்டார் அந்த சுகம் எனக்கு தேவைபட்டது பிறகு என்னை குப்புற படுக்க வைத்து புணர்ந்தார் அது ஒரு வித சுகமா இருந்தது அன்று முதல் அதற்கு அடிமையாகி விட்டேன் அன்று முதல் வயதானவர்களை கண்டால் நானாகவே போய் Uக்கத்தில் படுப்பேன் என் வயது 46 சுகத்திற்கு ஆண் பெண் என்ற வித்தியாசம் இல்லை,Non-Hate-Speech,tamil_dataset
அறுமையான சட்டம் வரவேற்க வேண்டும். இதற்கு எதிர்ப்பு தெரிவிக்கும் ஆண்களே ஞாபகபடுத்தி பாருங்கள் ஏதோ ஒரு சமயத்தில் நீயும் ஒரு ஆணிடம் சென்று உன் இச்சையை தீர்த்து இருப்பாய்,Non-Hate-Speech,tamil_dataset
உடுங்கயா மக்கள் தொகையாது கொரையாட்டும்,Non-Hate-Speech,tamil_dataset
Subash Bose Subash Bose ஏற்கனவே மக்கள் தொகை அதிகமயிட்டே போகுது. நாங்க இருக்கரதால அந்த விகிதம் குறைய வாய்ப்பு இருக்கிறது. அதுமட்டுமின்றி பெற்று எடுத்தால் தான் பிள்ளையா....??? தாய் தந்தை இல்லாமல் எத்தனையோ பிள்ளைகள் அனாதை ஆசரமங்களில் விடப்பட்டு உள்ளனர். அவங்கள மடில சுமக்காட்டியும் மனசுல சுமந்து ஒரு தாய்யாவும் தந்தை யாவும் இருந்தால் எங்க வாழ்க்கை நிறைவா இருக்கும். நீங்க செல்லுர MAIN எல்லாம் இதுக்கு முன்னாள் DOWN தான்.,Hate-Speech,tamil_dataset
நீங்க ஒரு கடவுள் மாதிரி,Non-Hate-Speech,tamil_dataset
Semma actng.. Dialoques weightu👌👌👌.. நாம இந்த soceityla வாழ்ரோம்னு சொல்ரத விட இந்த soceitykaaha தா வாழ்ரோம்😷😷😷,Non-Hate-Speech,tamil_dataset
திருநங்கை  சேய்தகாரியம் சரி தவறா  எனது பதில் மிகவும் தவறானதுதான் இந்த ஊர் உலத்தில உமைகள் வாழ்வதியில்லையா திருநங்கை  நான் இவர் வேறுக்வில்லை  ஆனால் இவர்கள் சேய்தகாரியம் சரியில்லை தயவுசெய்து மணிகுளம் எப்படி ஏற்றுக் கொள்வார்கள்,Non-Hate-Speech,tamil_dataset
"உங்கள் உணர்வுகளை முழுமையாக புரிந்து கொள்வது முடிகிறது சகோதரி ! உங்களின் நிலைமை மாற  ஒரே வழி கல்வி,  நீங்கள் நன்றாக படித்தால் அரசு உங்களை உயர்த்த தயாராக உள்ளது,  வளர் இளம் பருவத்தில் உள்ள திருநங்கை யை படிக்க ஊக்க படுத்தி உதவி செய்யுங்கள்,  வரும் காலங்களில் உங்களின் நிலைமை மேன்மை ஆகும்",Non-Hate-Speech,tamil_dataset
ஊருல எவ்ளோ பிரச்சனை இருக்கு அத பாருங்கப்பா அவனுக்கு ஆண்மை இல்லைப்போல அதனாலதன் அவன் ஆணைத்தேடி போறான்!!!!,Hate-Speech,tamil_dataset
உன் மண்டையில மூலை நிறையா இருக்குப்பா,Non-Hate-Speech,tamil_dataset
ganesh s Sakthi உங்க நம்பர்,Non-Hate-Speech,tamil_dataset
BSM திருமணம் ஆகவில்லை. உயர் கல்வி மாணவி,Non-Hate-Speech,tamil_dataset
"திருநங்கை நல்ல மனசு கொண்டவர்கள்... , நீங்கள் கடைசியாக இல்லாதவங்களுக்கு சாப்பாடு கொடுத்து சூப்பர் நண்பா👍",Non-Hate-Speech,tamil_dataset
அருமை கருத்துக்கள் தோழி  பாவம் இவர்கள் யாரும் இவர்களை தரக்குறைவாக பேசாதீர்கள்  அவர்கள் சொல்வது உண்மை  தானே அவர்களை வாழ விடுங்கள்,Non-Hate-Speech,tamil_dataset
கடைகளில் தரும் பணத்துக்காக வும் பாலியல் தொழிலில் வரும் பணத்துக்காகவும் கல்யாணம் பண்ண ஆண்களையும் படிக்கும் பயன்களையும் அடிமை முறையில் பேன்கள் அடைய அணியா வைத்து திருநங்கையாக மதுறங்க அரசு திருநங்கை பெயர் வைக்குது,Hate-Speech,tamil_dataset
நீங்கள் செய்யும் நல்ல காரியங்களில் எங்களுக்கும் பங்கு தாருங்கள் உங்களுடைய PAYTM இல்லைது google.pay நம்பரை பதிவிடவும் எங்களால் ஆனா உதவிகளை நாங்கள் செய்கிறோம்..,Non-Hate-Speech,tamil_dataset
கண்கள் கலங்கி விட்டது...,Non-Hate-Speech,tamil_dataset
திருநங்கை அன்பு மிகவும் புனிதமானது 🙏🙏🙏🙏🙏❤❤❤❤❤,Non-Hate-Speech,tamil_dataset
Shagul Hameed Shagul துலுக்க நாட்டுல இந்த மாதிரி ஒரு தேவியா இருந்த அவள் தலை வெட்டிருப்பானுங்க இங்க வந்து எதோ ஓரினச்சேர்க்கையாளர்களுக்கு ஆதரவாளர் மாதிரி நடிக்கிர நீ தான்ட பொட்டத் தேவிடியா தேவிடியா ...,Hate-Speech,tamil_dataset
அருமை அக்கா.  🙏🙏🙏🙏🙏🙏🙏🙏🙏,Non-Hate-Speech,tamil_dataset
உங்களுக்கு தலை வணங்குகிறேன் அண்ணா..🙏,Non-Hate-Speech,tamil_dataset
தேவைகள் அனைத்தும் சரியானவை  அல்ல .....எது சரியோ அது மட்டும் தான் சரி .............ஓரின சேர்க்கையை சரியானது அல்ல உங்கள் இழிவான புத்திக்கு மட்டுமே சரி .....நன்றி,Hate-Speech,tamil_dataset
வீடியோ எடுத்து உடனே ரயில்வே காவல்துறைக்கு வாட்ஸ்அப்பில் அனுப்ப வேண்டும்.,Non-Hate-Speech,tamil_dataset
"மிக அருமையான பதிவு  சகோதர்களே,.🥰😍😍😍😍😍",Non-Hate-Speech,tamil_dataset
அருமை பெருமைகளை அழகாக சொன்ன மாலினி நீ வாழ்க,Non-Hate-Speech,tamil_dataset
சிரம் தாழ்ந்த வணக்கங்கள்👌🏻,Non-Hate-Speech,tamil_dataset
விபச்சாரத்திற்கும் அனுமதி கொடுத்துவிட்டான் கள்ள உறவு இனி தவறு  இல்லையாம்,Non-Hate-Speech,tamil_dataset
"மிகச்சிறந்த கருத்தை மிகவும் இயல்பாக கொண்டு வந்து அசத்தி விட்டீர்கள், பெரும் பெருமை..🙏",Non-Hate-Speech,tamil_dataset
"வெட்கம் இல்லாத பண்பாடு இல்லாத , கலாச்சாரம் இல்லாத கேவலமான திமிர்தனமான  , ஒழுக்கம் இல்லாத , நாற்றம் பிடித்த  பேச்சு  .; விலங்குகள் ஓரினச்சேர்க்கை ல் ஈடுபடுவதில்லை .; ; திருடன் திருட்டை நியாய படுத்துவது சகஜம் .; ; இந்த மாதிரி யான உரையாடல்  நிகழ்ச்சி மேலும் தவறுகளுக்கு வழி வகுக்கும் .",Hate-Speech,tamil_dataset
weird தமிழன் உங்கமேல உள்ள தப்ப சொசைட்டி மேல போடாதிங்க தப்ப புரிஞ்சுக்க பாருங்க நீங்க அடுத்தவனுக்க மனசக் கெடுப்பீங்க ஆனா பழி மனசு கெட்டவனுக்க மேலயா,Hate-Speech,tamil_dataset
நான் முதன் முறையாக கண் கலங்கிய video,Non-Hate-Speech,tamil_dataset
அல்பேட் ஐன்ஸ்டீன்  Quantum theory அவர் மட்டும் இந்த கோட்பாட்டில் வெற்றி அடைந்திருந்தால் இந்த உலகமே தலைகீழாக மாறியிருக்கும்....... சீக்கிரம் வீடியோ பன்னுங்க மதன்...,Non-Hate-Speech,tamil_dataset
உண்மையாவே நீங்க நல்லா வருவீங்க 👍👍👍👍👍👍👍👍👍,Non-Hate-Speech,tamil_dataset
Chen Nila sema speech... நல்லா இருப்பீங்க...,Non-Hate-Speech,tamil_dataset
மன்னிப்பு  தமிழ்ல  எனக்கு  புடிக்காத  ஒரே வார்த்தை 🤣🤣🤣🤣😅😅😅😅😅😅சீ பே,Non-Hate-Speech,tamil_dataset
நண்பா சூப்பர் சூப்பர் உங்கள் திறமைக்கு பாராட்டுக்கள் வாழ்த்துக்கள்,Non-Hate-Speech,tamil_dataset
இந்த உலகத்தில் திருநங்கை தோழிகளிக்கு இருக்கு மனிதநேயம் கூட சாதாரண மக்களுக்கு இல்லை❤️💯,Non-Hate-Speech,tamil_dataset
Sumitha Stalinbabu nee ஆம்பலயா இல்லை பொட்ட யா?,Hate-Speech,tamil_dataset
"Aliy Yila அப்படிய,",Non-Hate-Speech,tamil_dataset
உயிர் உணர்ச்சி ......,Non-Hate-Speech,tamil_dataset
ஆணோ பெண்ணோ  ஓரினச்சேர்க்கையாளர்களால் ஒருவர் பாலியல் துன்புறுத்தலுக்கு ஆளானால் அந்த குற்றத்திற்கும் தண்டனை உண்டு.,Hate-Speech,tamil_dataset
ஓரினச்சேர்க்கை என்பது பாவமா?? ஆம் பரிசுத்த வேதம் சொல்கிறது ஓரினச்சேர்க்கை என்பது பாவம் .,Hate-Speech,tamil_dataset
இயற்கைக்கு முரணான செயல்....மனித சமூகம் முடிவு க்கு செல்கிறதோ என்ற அச்சம் தோன்றுகிறது...,Hate-Speech,tamil_dataset
உழைத்து வழுங்க கஷ்டமான வேலை கூட செய்யுங்கள் நாடு வாழ்த்தும்,Non-Hate-Speech,tamil_dataset
அடப்பாவி உன்னோட நடிப்பு என் கண்ணுலயே தண்ணிவந்துடுச்சிடா பாவி.,Non-Hate-Speech,tamil_dataset
இது திருவண்ணாமலை தான ...,Non-Hate-Speech,tamil_dataset
ஹோமோ பாலியல் பற்றி பேசுவதை தயவு செய்து தவிர்க்கவும் நமது இந்திய தமிழ் கலாச்சாரத்துக்கு உகந்ததல்ல  நமது நாடுதான் நாகரிகத்துக்கு முன்னோடி மற்ற நாடுகளை பார்த்து கற்க தேவை இல்லை,Hate-Speech,tamil_dataset
அனைவருக்கும் ஒன்று சொல்ல விரும்புகிறேன் .,Non-Hate-Speech,tamil_dataset
நீங்க சொல்வதெல்லாம் உண்மை தான் ஆனால் ஒரு சில திருநங்கை  செய்யுற தவறு அனைவரையும் தவறான,Non-Hate-Speech,tamil_dataset
