Post,Labels Set,Category,Dataset,Processed_Post
কে কোন বাল দেখতে নেয় বুঝিনা আর সে লাষ্ট কবে একটা ফিফটি করছে কেউ বলতে পারবে?? আবালদের দলে সুযোগ এখনো দেয় ভাবতেও অবাক লাগে,1,sports,Bengali hate speech ,কে কোন বাল দেখতে নেয় বুঝিনা আর সে লাষ্ট কবে একটা ফিফটি করছে কেউ বলতে পারবে?? আবালদের দলে সুযোগ এখনো দেয় ভাবতেও অবাক লাগে
আসলে দেশটা এমন যে জনগনের সামনে মানুষকে কুপিয়ে হত্যা করলেও জনগন বাচানোর চেস্টা করেনা কিংবা খুনিকেও আটকাইনা।তাই তো অপরাধীরা আরো অপরাধ করতে সাহস পাই।তাইতো দুনিয়া এত ধংসের পথে,0,crime,Bengali hate speech ,আসলে দেশটা এমন যে জনগনের সামনে মানুষকে কুপিয়ে হত্যা করলেও জনগন বাচানোর চেস্টা করেনা কিংবা খুনিকেও আটকাইনা।তাই তো অপরাধীরা আরো অপরাধ করতে সাহস পাই।তাইতো দুনিয়া এত ধংসের পথে
মনুরা তখন ডিম ছোরে মারছো 😋এখন পিয়ার দাও 😃🇧🇩,0,politics,Bengali hate speech ,মনুরা তখন ডিম ছোরে মারছো এখন পিয়ার দাও 
হায়েরে বাংলার মানুষ তোরা এতোটা অবুজ তোরা কি ভাত খাস নাকি গাস খাচ এসব কি করে বিসাস করোস,0,religion,Bengali hate speech ,হায়েরে বাংলার মানুষ তোরা এতোটা অবুজ তোরা কি ভাত খাস নাকি গাস খাচ এসব কি করে বিসাস করোস
তোমার মত বোকাচোদা বোর্ড প্রধান থাকলে দেশের মান এমনিতেই কমে জায়,1,sports,Bengali hate speech ,তোমার মত বোকাচোদা বোর্ড প্রধান থাকলে দেশের মান এমনিতেই কমে জায়
ওনাকে বলুন একটু খুলে দেখাতে।আমরা দেখতে চাই।,0,entertainment,Bengali hate speech ,ওনাকে বলুন একটু খুলে দেখাতে।আমরা দেখতে চাই।
এই খানকির বাচ্চা গুলারে আগুনে পুরিয়ে মারা দরকার?,1,religion,Bengali hate speech ,এই খানকির বাচ্চা গুলারে আগুনে পুরিয়ে মারা দরকার?
টা খানকির বাচ্চা আর একজন হল মানুষ,1,religion,Bengali hate speech ,টা খানকির বাচ্চা আর একজন হল মানুষ
বোকাচুদা,1,sports,Bengali hate speech ,বোকাচুদা
শালার মুভি এটা নাকি নাটক।,1,entertainment,Bengali hate speech ,শালার মুভি এটা নাকি নাটক।
ওদের বিচার হয়না কেনো জানেন কারন আমরাই বালো না,0,religion,Bengali hate speech ,ওদের বিচার হয়না কেনো জানেন কারন আমরাই বালো না
"প্রথমে ধন্যবাদ যানায়, নাটকের পরিচালককে, এতসুন্দর শিক্ষনিয় একটি নাটক করার জন্য, এবং একয়সাথে বিনেদন দেবার জন্য, সবমিলিয়ে অনেক সুন্দর নাটকটি,",0,entertainment,Bengali hate speech ,"প্রথমে ধন্যবাদ যানায়, নাটকের পরিচালককে, এতসুন্দর শিক্ষনিয় একটি নাটক করার জন্য, এবং একয়সাথে বিনেদন দেবার জন্য, সবমিলিয়ে অনেক সুন্দর নাটকটি,"
খানকির পোলা তোর ব্যবহারে এরকম কেন বে ও খানে তো ভদ্র গুলা গেছে সব আমি গেলে তরে লাত্থি মারতে খান্কি মাগির পোলা চেটের বিচারক তুই,1,entertainment,Bengali hate speech ,খানকির পোলা তোর ব্যবহারে এরকম কেন বে ও খানে তো ভদ্র গুলা গেছে সব আমি গেলে তরে লাত্থি মারতে খান্কি মাগির পোলা চেটের বিচারক তুই
ছাগুদের কমেন্ট পড়তে আসলাম। :p (২),1,celebrity,Bengali hate speech ,ছাগুদের কমেন্ট পড়তে আসলাম। :p (২)
সবাই জাফর ষা‌ড়ের জন্য মুনাজাত ধ‌রেন,0,celebrity,Bengali hate speech ,সবাই জাফর ষা‌ড়ের জন্য মুনাজাত ধ‌রেন
এই ডিসির ভিডিও সোশ্যাল মিডিয়ায় যেই লোকটা ছাড়ছে ওকে নোবেল পুরস্কার দেওয়া হোক আমার সাথে কে কে একমত,0,crime,Bengali hate speech ,এই ডিসির ভিডিও সোশ্যাল মিডিয়ায় যেই লোকটা ছাড়ছে ওকে নোবেল পুরস্কার দেওয়া হোক আমার সাথে কে কে একমত
তুই মরে যা মাগি,1,crime,Bengali hate speech ,তুই মরে যা মাগি
এই বাচ্ছা পোলা তোকে আমি ভালো মোনে করতাম কিন্তু আমি ভুল বুঝেছি আসলে তুই যে তোর মায়ের জারজ সন্তান তা আমি জানতাম না আজ থেকে জানলাম সুধু তাই না তুই খাঁটি জিএমবি একে জরুরী তলব করতে হইবে,1,religion,Bengali hate speech ,এই বাচ্ছা পোলা তোকে আমি ভালো মোনে করতাম কিন্তু আমি ভুল বুঝেছি আসলে তুই যে তোর মায়ের জারজ সন্তান তা আমি জানতাম না আজ থেকে জানলাম সুধু তাই না তুই খাঁটি জিএমবি একে জরুরী তলব করতে হইবে
কাউয়া কাদেরকে সরিয়ে দেয়া উচিত।,1,politics,Bengali hate speech ,কাউয়া কাদেরকে সরিয়ে দেয়া উচিত।
কমেন্ট কারীরা কি যে কমেন্ট করেন খুব লজ্জা লাগে...হেতে যে বাঁচি আছে তার জন্য সবাই মোনাজাত ধরেন...,0,celebrity,Bengali hate speech ,কমেন্ট কারীরা কি যে কমেন্ট করেন খুব লজ্জা লাগে...হেতে যে বাঁচি আছে তার জন্য সবাই মোনাজাত ধরেন...
ফাসি চাই সালাগর,1,crime,Bengali hate speech ,ফাসি চাই সালাগর
এই খানকির পোলারা বিচারক হয় কিভাবে এভাবে মানুষদের অপমান করা একদম ঠিক হয়নি। চ্যানেল আই অনেক নিচে নেমে গেছে এরকম ফালতু লোকদের বিচারক হিসেবে আনা উচিৎ হয়নি,1,entertainment,Bengali hate speech ,এই খানকির পোলারা বিচারক হয় কিভাবে এভাবে মানুষদের অপমান করা একদম ঠিক হয়নি। চ্যানেল আই অনেক নিচে নেমে গেছে এরকম ফালতু লোকদের বিচারক হিসেবে আনা উচিৎ হয়নি
আর এক সুন্নি মাদারচুদ ভন্ডার বাচ্চা,1,religion,Bengali hate speech ,আর এক সুন্নি মাদারচুদ ভন্ডার বাচ্চা
কমেন্ট পডে মজা পাইছি।।জনগন কার পক্ষে দেখতে হলে কমেন্ট পড়ুন।,0,politics,Bengali hate speech ,কমেন্ট পডে মজা পাইছি।।জনগন কার পক্ষে দেখতে হলে কমেন্ট পড়ুন।
এই হিন্দু খানকি মাগীর ভোদা ফাটায় দেওয়া উচিত,1,politics,Bengali hate speech ,এই হিন্দু খানকি মাগীর ভোদা ফাটায় দেওয়া উচিত
দেশের বিতর রোহিংগারা রাজনীতি করে এই গোলা দেকেন না,0,crime,Bengali hate speech ,দেশের বিতর রোহিংগারা রাজনীতি করে এই গোলা দেকেন না
তোদের চাইতে বেশ্যা পল্লীর দালাল অনেক ভাল।,1,celebrity,Bengali hate speech ,তোদের চাইতে বেশ্যা পল্লীর দালাল অনেক ভাল।
"স্যার অাপনার গা‌য়েবানা জানাজার সকল অা‌য়োজন ইতিম‌ধ্যো সম্পন্ন হ‌য়ে গে‌ছে , এখন এসব ব‌লে অার লাভ হ‌বেনা সবাই হড় হড় ক‌রে ব‌মি ক‌রে দি‌বে",0,celebrity,Bengali hate speech ,"স্যার অাপনার গা‌য়েবানা জানাজার সকল অা‌য়োজন ইতিম‌ধ্যো সম্পন্ন হ‌য়ে গে‌ছে , এখন এসব ব‌লে অার লাভ হ‌বেনা সবাই হড় হড় ক‌রে ব‌মি ক‌রে দি‌বে"
জাতী একটা কথা জানতে চাই এই কমেন্ট বক্স কি জন্য রাখা হয়ছে? জাতী মিনিট সময় নস্ট করার জন্য নাকি কমেন্টের পতিকৃয়া অনুযায় ব্যবস্থা নেয়ার জন্য?,0,crime,Bengali hate speech ,জাতী একটা কথা জানতে চাই এই কমেন্ট বক্স কি জন্য রাখা হয়ছে? জাতী মিনিট সময় নস্ট করার জন্য নাকি কমেন্টের পতিকৃয়া অনুযায় ব্যবস্থা নেয়ার জন্য?
এই কুলাঙ্গারকে কেউ মেরে ফেলতে পারলে আমার সবকিছু বিক্রি করে তাকে পুরস্কার দিতাম আহারে এই বাপ যদি জানতো তার ছেলে বড় হয়ে এই হবে তাইলে সেই রাতে বীর্যটুকু লুঙ্গিতে ফেলেই শুকায়ে ফেলতো,1,"Meme, TikTok and others",Bengali hate speech ,এই কুলাঙ্গারকে কেউ মেরে ফেলতে পারলে আমার সবকিছু বিক্রি করে তাকে পুরস্কার দিতাম আহারে এই বাপ যদি জানতো তার ছেলে বড় হয়ে এই হবে তাইলে সেই রাতে বীর্যটুকু লুঙ্গিতে ফেলেই শুকায়ে ফেলতো
ছেলেটাকে একটা বিয়ে করিয়ে দিলেই হয়......,0,sports,Bengali hate speech ,ছেলেটাকে একটা বিয়ে করিয়ে দিলেই হয়......
পাপোন্দা যদি জানতে পারে। তয়লে আর আপনাকে বিডিতে আসতে দিবে না।অবশ্য এটা দেখার পর ও দেড়মাস পাগল থাকবে 🤔🤔,0,sports,Bengali hate speech ,পাপোন্দা যদি জানতে পারে। তয়লে আর আপনাকে বিডিতে আসতে দিবে না।অবশ্য এটা দেখার পর ও দেড়মাস পাগল থাকবে 
তোর মতন গান কি আর আছে দেশে কত সোনা আর বোদার বিতে ঢুকাইতে পারবি তোর বোদা কি যমুনা সেতুর গান হয়ে গেছে,1,"Meme, TikTok and others",Bengali hate speech ,তোর মতন গান কি আর আছে দেশে কত সোনা আর বোদার বিতে ঢুকাইতে পারবি তোর বোদা কি যমুনা সেতুর গান হয়ে গেছে
মোমো আর দাড়িওয়ালা ছেলেটার আচরণ দেখি কুত্তার মত। এগুলারে বিচারক করছে কে,1,entertainment,Bengali hate speech ,মোমো আর দাড়িওয়ালা ছেলেটার আচরণ দেখি কুত্তার মত। এগুলারে বিচারক করছে কে
আবাল জাজ যাত্রাপালা করার যোগ্যতা নাই আইচে জাজ্মেন্ট করতে জুতা মারা দরকার হালাগরে🤬🤬,1,entertainment,Bengali hate speech ,আবাল জাজ যাত্রাপালা করার যোগ্যতা নাই আইচে জাজ্মেন্ট করতে জুতা মারা দরকার হালাগরে
ওই। কুত্তার বাচ্চা যে মারা গেছে সে আসলো কি করে মোটা চোদা,1,religion,Bengali hate speech ,ওই। কুত্তার বাচ্চা যে মারা গেছে সে আসলো কি করে মোটা চোদা
তোরা বিদেশে গিয়ে এতকিছু বলছিস একটু এই দেশের দিকে এসে বল তোদের কিকরি সালা কাফের দের দালাল,0,religion,Bengali hate speech ,তোরা বিদেশে গিয়ে এতকিছু বলছিস একটু এই দেশের দিকে এসে বল তোদের কিকরি সালা কাফের দের দালাল
