Post,Labels Set,Dataset,Processed_Post
"தன் பால் ஈர்ப்பு இயற்கை.  அதைத் தடுக்கக்கூடாது என்பது மிகவும் அபத்தமானது.  அது இயற்கையானது இல்லை என்பதால் யோக்கியமற்றது.  இவர்கள் கூறும் ஒற்றைச் சொல் எங்களுடைய தனிப்பட்ட உணர்வு.  ஒரு குறிப்பிட்ட மக்களுடைய இயற்கைக்கு மாறுபட்ட உணர்வு சரி என்பதை ஏற்றுக்கொள்வது தவறு.  குடித்து குடும்பத்தை அழிப்பவன், பல பெண்களுடன்/ஆண்களுடன் கள்ள உறவு கொள்ளுபவர்கள், கொலை செய்பவர்கள், கொள்ளையடிப்பவர்கள் போன்ற சமூக விரோதிகளும் இது எங்கள் உணர்வு சம்பந்தப்பட்டது என்று எளிதாக சொல்லலாம்.  அதை ஏற்றுக்கொள்ள முடியுமா?  திருட வேண்டும் என்ற உணர்வு இயற்கையானதுதானே.. பல பேருடன் உளவு கொள்ளத்துடிப்பது இயற்கையானதுதானே.. பெற்றோரை கவனிக்க விரும்பாத உணர்வும் இயற்கைத்தானே.. அதையும் இனி தவறு இல்லை என்று சட்டம் இயற்றி அதற்கு வக்காலத்து வாங்கட்டும் இந்த அரசு.",1,tamil_dataset,"தன் பால் ஈர்ப்பு இயற்கை. அதைத் தடுக்கக்கூடாது என்பது மிகவும் அபத்தமானது. அது இயற்கையானது இல்லை என்பதால் யோக்கியமற்றது. இவர்கள் கூறும் ஒற்றைச் சொல் எங்களுடைய தனிப்பட்ட உணர்வு. ஒரு குறிப்பிட்ட மக்களுடைய இயற்கைக்கு மாறுபட்ட உணர்வு சரி என்பதை ஏற்றுக்கொள்வது தவறு. குடித்து குடும்பத்தை அழிப்பவன், பல பெண்களுடன்/ஆண்களுடன் கள்ள உறவு கொள்ளுபவர்கள், கொலை செய்பவர்கள், கொள்ளையடிப்பவர்கள் போன்ற சமூக விரோதிகளும் இது எங்கள் உணர்வு சம்பந்தப்பட்டது என்று எளிதாக சொல்லலாம். அதை ஏற்றுக்கொள்ள முடியுமா? திருட வேண்டும் என்ற உணர்வு இயற்கையானதுதானே.. பல பேருடன் உளவு கொள்ளத்துடிப்பது இயற்கையானதுதானே.. பெற்றோரை கவனிக்க விரும்பாத உணர்வும் இயற்கைத்தானே.. அதையும் இனி தவறு இல்லை என்று சட்டம் இயற்றி அதற்கு வக்காலத்து வாங்கட்டும் இந்த அரசு."
ஜாதி ஒழியனும்னா சிறுவயசிலேயே நஞ்சை புகுத்தும் பெற்றோரிடமிருந்து பிள்ளைகளை பிரிக்கனும்,1,tamil_dataset,ஜாதி ஒழியனும்னா சிறுவயசிலேயே நஞ்சை புகுத்தும் பெற்றோரிடமிருந்து பிள்ளைகளை பிரிக்கனும்
"திராவிட திருட்டு, வடுக கும்பலின் அடிவருடி நாயே என்ன திமிருடா எல்லாம் உங்க ஆட்சி திமிருதானே எவ்வளவு நாள் இன்னும் கொஞ்சம்தான் 😄",1,tamil_dataset,"திராவிட திருட்டு, வடுக கும்பலின் அடிவருடி நாயே என்ன திமிருடா எல்லாம் உங்க ஆட்சி திமிருதானே எவ்வளவு நாள் இன்னும் கொஞ்சம்தான் "
"Ayy Ar இதய துடிப்பில் உனது நினைவலைகள். ஊன் உறக்கமின்றி சதா காலமும் உன் நினைவு. பழகிய சிறிது காலத்தில் ஏன் உன் மேல் இப்படி ஒரு நேசம் என்று தெரியவில்லை. உன்னிடம் நான் கொண்டது வெரும் இச்சை மட்டும் இல்லை. அதையும் விட ஒரு புனிதமான உறவு நம்முல் இருப்பதாக உணர்கிறேன். இதுவரை என்னில் இல்லாத ஒரு வேதனை,உன்னை காணமுடியவில்லை என்பதுதான்.இறைவன் கருணையினால் விரைவில் நாங்கள் சந்திக்கும் வாய்ப்பு கிடைக்க வேண்டும் என்று வேண்டி கொள்கிறேன். உன் உதட்டு இதழை சுவைக்க துடிக்கும் உன் ஆருயிர் ............*",0,tamil_dataset,"Ayy Ar இதய துடிப்பில் உனது நினைவலைகள். ஊன் உறக்கமின்றி சதா காலமும் உன் நினைவு. பழகிய சிறிது காலத்தில் ஏன் உன் மேல் இப்படி ஒரு நேசம் என்று தெரியவில்லை. உன்னிடம் நான் கொண்டது வெரும் இச்சை மட்டும் இல்லை. அதையும் விட ஒரு புனிதமான உறவு நம்முல் இருப்பதாக உணர்கிறேன். இதுவரை என்னில் இல்லாத ஒரு வேதனை,உன்னை காணமுடியவில்லை என்பதுதான்.இறைவன் கருணையினால் விரைவில் நாங்கள் சந்திக்கும் வாய்ப்பு கிடைக்க வேண்டும் என்று வேண்டி கொள்கிறேன். உன் உதட்டு இதழை சுவைக்க துடிக்கும் உன் ஆருயிர் ............*"
adutha poriyal ongaluku than,1,tamil_dataset,adutha poriyal ongaluku than
"கண்மூடி திறக்கும் போது 
When I was sad / closing my eyes in tears ( to see THE MASS RAPPINGS of heroine girls in the movie industries)

கடவுள் எதிரே வந்தது போல
Like a Goddess Parvathy devi APPEARING before me 

அடடா என் கண் முன்னாடி
As a SURPRISE  👏🙏

 அவளே வந்து நின்றாளே
SHE CAME BEFORE ME / to wipe off my tears 

குடை இல்லா நேரம் பாத்து
Like without any expectations

 கொட்டி போகும் மழையை போல
Suddenly appearing & helping a dying good poor people

அழகாலே என்னை நனைத்து
With her BRAVE like DURGA devi/ she cooled me / with her mother like CARE SHOWN to OTHER GIRLS following her

 இது தான் காதல் என்றாலே
& TOLD EVERYONE / this should be / THE RIGHT WAY SHOWING / the most needed character of all seniors in her field

தெரு முனையை தாண்டும் வரையில்
In my life / before days  ...

வெறும் நாள் தான் என்று இருந்தேன்
I have never seen / any girl like her 

தேவதையை பார்த்ததும் இன்று 
After SEEING A GODESS ANGEL girl like her / today

திருநாள் என்கின்றேன்
I feeled / TODAY as my DEEPAVALI like CELEBRATION DAY 

அழகான விபத்தில் இன்று ஹையோ நான் மாட்டிக்கொண்டேன்
Luckily or A GODDESS blessingly / I felled into this meeting of her 

தப்பிக்க வழிகள் இருந்தும் வேண்டாம் என்கின்றேன்
Eventhoogh there are / so many  heroine girls in this TAMIL INDUSTRY / I saw her /AS MY BEST life partner / as a dear daughter / to PRAISE & EMBRACE

https://youtu.be/9UiTj9c3H54",1,tamil_dataset,கண்மூடி திறக்கும் போது When I was sad / closing my eyes in tears ( to see THE MASS RAPPINGS of heroine girls in the movie industries) கடவுள் எதிரே வந்தது போல Like a Goddess Parvathy devi APPEARING before me அடடா என் கண் முன்னாடி As a SURPRISE  அவளே வந்து நின்றாளே SHE CAME BEFORE ME / to wipe off my tears குடை இல்லா நேரம் பாத்து Like without any expectations கொட்டி போகும் மழையை போல Suddenly appearing & helping a dying good poor people அழகாலே என்னை நனைத்து With her BRAVE like DURGA devi/ she cooled me / with her mother like CARE SHOWN to OTHER GIRLS following her இது தான் காதல் என்றாலே & TOLD EVERYONE / this should be / THE RIGHT WAY SHOWING / the most needed character of all seniors in her field தெரு முனையை தாண்டும் வரையில் In my life / before days ... வெறும் நாள் தான் என்று இருந்தேன் I have never seen / any girl like her தேவதையை பார்த்ததும் இன்று After SEEING A GODESS ANGEL girl like her / today திருநாள் என்கின்றேன் I feeled / TODAY as my DEEPAVALI like CELEBRATION DAY அழகான விபத்தில் இன்று ஹையோ நான் மாட்டிக்கொண்டேன் Luckily or A GODDESS blessingly / I felled into this meeting of her தப்பிக்க வழிகள் இருந்தும் வேண்டாம் என்கின்றேன் Eventhoogh there are / so many heroine girls in this TAMIL INDUSTRY / I saw her /AS MY BEST life partner / as a dear daughter / to PRAISE & EMBRACE
இந்த விஷயம்மக்களுக்கொருநீதிமன்னொருக்கொருநீதியைபோன்றுஉள்ளது,0,tamil_dataset,இந்த விஷயம்மக்களுக்கொருநீதிமன்னொருக்கொருநீதியைபோன்றுஉள்ளது
இவளயெல்லாம் நாட்டில விட்டு வைப்பதே மிக தப்பு  நாய்,1,tamil_dataset,இவளயெல்லாம் நாட்டில விட்டு வைப்பதே மிக தப்பு நாய்
"DMK is MGR
MGR is DMK",0,tamil_dataset,DMK is MGR MGR is DMK
அப்போ  சாவு,1,tamil_dataset,அப்போ சாவு
Remember 20 days child,0,tamil_dataset,Remember 20 days child
"Yogesh Prabu உடலுக்குள் இருக்கும் ஹார்மோனுக்கு கலாச்சாரம் தெரியாது! ஆனா மூளைக்கு தெரியாதா ??? நல்லது எது , கெட்டது எதுனு??? விலங்கிலும் கூட இப்படி இருக்குனு சொல்றீங்களே! நான் கேக்குறேன் விலங்குகளுக்கு ஐந்து அறிவுதானே! உங்களுக்கு தெரியாதா ???",1,tamil_dataset,"Yogesh Prabu உடலுக்குள் இருக்கும் ஹார்மோனுக்கு கலாச்சாரம் தெரியாது! ஆனா மூளைக்கு தெரியாதா ??? நல்லது எது , கெட்டது எதுனு??? விலங்கிலும் கூட இப்படி இருக்குனு சொல்றீங்களே! நான் கேக்குறேன் விலங்குகளுக்கு ஐந்து அறிவுதானே! உங்களுக்கு தெரியாதா ???"
நல்லா அழகா மரியாதையா பேசுறீங்க...,0,tamil_dataset,நல்லா அழகா மரியாதையா பேசுறீங்க...
ஓம் பொண்டாட்டிய எங்க (டி)டா,1,tamil_dataset,ஓம் பொண்டாட்டிய எங்க (டி)டா
Hindi vendam endru sollum leaders pillaikal perappillaikal Enna padikkirarkal endru note pannungal. Appothu theriyum ivarkalin unmayana mukam.,0,tamil_dataset,Hindi vendam endru sollum leaders pillaikal perappillaikal Enna padikkirarkal endru note pannungal. Appothu theriyum ivarkalin unmayana mukam.
அருமையன பேச்சு.தமிழ்மிகு.                 திரு கரு பழனியப்பா அவா்களே,0,tamil_dataset,அருமையன பேச்சு.தமிழ்மிகு. திரு கரு பழனியப்பா அவா்களே
போடா உங்க ஆத்தா தேவிடியா மகனை,1,tamil_dataset,போடா உங்க ஆத்தா தேவிடியா மகனை
"யோவ் ஜெய் பல வித்தைகள கைல வச்சிருக்கய்யா.நல்லா வருவய்யா,நல்லா வரனும்❤️❤️❤️",0,tamil_dataset,"யோவ் ஜெய் பல வித்தைகள கைல வச்சிருக்கய்யா.நல்லா வருவய்யா,நல்லா வரனும்"
அக்கா உங்களின்வாழ்க்கை சிறக்க ஆண்டவரைபிரார்த்தனைசெய்கிறேன்,0,tamil_dataset,அக்கா உங்களின்வாழ்க்கை சிறக்க ஆண்டவரைபிரார்த்தனைசெய்கிறேன்
Anda  unakku mattum  air coolar,0,tamil_dataset,Anda unakku mattum air coolar
hanuman langhavai marupadeeyum yergeerar pongha athipatum odapoghrrar uyeruku payanthu,0,tamil_dataset,hanuman langhavai marupadeeyum yergeerar pongha athipatum odapoghrrar uyeruku payanthu
இந்த சனியனை பெட்ரோல் ஊற்றி எரிக்கனும்.ஜெயிலில் இவர்களை எந்த அறையில் அடைப்பது என்பது போலீசுக்கு குழப்பமாகவே உள்ளது.,0,tamil_dataset,இந்த சனியனை பெட்ரோல் ஊற்றி எரிக்கனும்.ஜெயிலில் இவர்களை எந்த அறையில் அடைப்பது என்பது போலீசுக்கு குழப்பமாகவே உள்ளது.
"LGBTQ (லெஸ்பியன், கே, இருபால், திருநங்கை  மற்றும் வினோதமான இல்லைது கேள்வி கேட்பது).",0,tamil_dataset,"LGBTQ (லெஸ்பியன், கே, இருபால், திருநங்கை மற்றும் வினோதமான இல்லைது கேள்வி கேட்பது)."
Correct ah sonninga 👍,0,tamil_dataset,Correct ah sonninga 
"ஓரினச் சேர்க்கையை பின்பற்றிய சமுதாயம் பேரழிவையே கண்டது.வரலாற்று பாடம்......   ஆண் ,பெண் புணர்ச்சியே இயற்யானது💏💏💏💏..இறைவனால் அருளப்பட்டது",1,tamil_dataset,"ஓரினச் சேர்க்கையை பின்பற்றிய சமுதாயம் பேரழிவையே கண்டது.வரலாற்று பாடம்...... ஆண் ,பெண் புணர்ச்சியே இயற்யானது..இறைவனால் அருளப்பட்டது"
"Judge அறிஞ்சி புரிஞ்சி judgement சொன்னாரோ இல்லையோ, ஒன்னு மட்டும் தெளிவா தெரியுது, இந்தியாவில்    ஜனத்தொகை குறையும் !!!!",1,tamil_dataset,"Judge அறிஞ்சி புரிஞ்சி judgement சொன்னாரோ இல்லையோ, ஒன்னு மட்டும் தெளிவா தெரியுது, இந்தியாவில் ஜனத்தொகை குறையும் !!!!"
periya   kalavane   pundada   intha   karunanethe   thevedeya   mavan,1,tamil_dataset,periya kalavane pundada intha karunanethe thevedeya mavan
அண்ணா 👌🔥🔥🔥🔥🔥🔥🔥🔥,0,tamil_dataset,அண்ணா 
still not mature enough 😆😅😆😅,0,tamil_dataset,still not mature enough 
@praveen jai who is cheating whom using the misery of people  looting money through prayer towers  and voting on jamath instructions 😎,0,tamil_dataset,jai who is cheating whom using the misery of people looting money through prayer towers and voting on jamath instructions 
உங்களின் மனவலிமைக்கு என்னுடைய மரியாதை கலந்த வணக்கங்கள்💐🙏,0,tamil_dataset,உங்களின் மனவலிமைக்கு என்னுடைய மரியாதை கலந்த வணக்கங்கள்
அதில் வேடிக்கை பார்ப்பவன் மீது தவறு இல்லை அதற்கு ஒரு தேவிடியா தேவிடியா  தேவிடியா தேவிடியா  பையன் சப்போர்ட் செய்கின்றார் பார்க்கும்போது புலம்புவான் போல் தெரிகிறது தேவிடியா தேவிடியா  தேவிடியா தேவிடியா  பையன்,0,tamil_dataset,அதில் வேடிக்கை பார்ப்பவன் மீது தவறு இல்லை அதற்கு ஒரு தேவிடியா தேவிடியா தேவிடியா தேவிடியா பையன் சப்போர்ட் செய்கின்றார் பார்க்கும்போது புலம்புவான் போல் தெரிகிறது தேவிடியா தேவிடியா தேவிடியா தேவிடியா பையன்
Useless naaikala,0,tamil_dataset,Useless naaikala
Tamilnaattu pengal Serial naadagamum  bigbossum paarthittu ithaipatri athigam yosikkaamal irukiraargal avargalthaan marubadiyum indha aalungatchikku vote poduvaanga Muthalil ithai unaravendum,0,tamil_dataset,Tamilnaattu pengal Serial naadagamum bigbossum paarthittu ithaipatri athigam yosikkaamal irukiraargal avargalthaan marubadiyum indha aalungatchikku vote poduvaanga Muthalil ithai unaravendum
சொல்லுவதுக்கு வர்த்தயே  இல்லை அக்கா,0,tamil_dataset,சொல்லுவதுக்கு வர்த்தயே இல்லை அக்கா
அய்யா உங்கள் தாய் மொழி இன்னும் மழலை மொழியாகவே உள்ளதே.........,0,tamil_dataset,அய்யா உங்கள் தாய் மொழி இன்னும் மழலை மொழியாகவே உள்ளதே.........
இந்தியர்கள் இந்தியாவிடம் கேட்கவும் அல்லது உங்கள் வீஈஈஈரன் முரளி  ராஐபக்ச நன்பன் அவரிடம்,1,tamil_dataset,இந்தியர்கள் இந்தியாவிடம் கேட்கவும் அல்லது உங்கள் வீஈஈஈரன் முரளி ராஐபக்ச நன்பன் அவரிடம்
பிரித்திகா யாழினி போல காவல்துறையில் சேர்வதே சரியான தேர்வு. இதுபற்றி சட்ட ஆராய்ச்சியாளர் திரு. வாரண்ட் பாலா என்பவர் தன்னுடைய நீதியைத்தேடி... சாட்சியங்களை சேகரிப்பது எப்படி? என்ற நூலில் 2010 ஆம் ஆண்டே தெளிவாக ஆராய்ந்து எழுதியுள்ளார்.,0,tamil_dataset,பிரித்திகா யாழினி போல காவல்துறையில் சேர்வதே சரியான தேர்வு. இதுபற்றி சட்ட ஆராய்ச்சியாளர் திரு. வாரண்ட் பாலா என்பவர் தன்னுடைய நீதியைத்தேடி... சாட்சியங்களை சேகரிப்பது எப்படி? என்ற நூலில் 2010 ஆம் ஆண்டே தெளிவாக ஆராய்ந்து எழுதியுள்ளார்.
Poda dei ponne naye unnaum jattiyode oade viduvanuhal mande bathuram,1,tamil_dataset,Poda dei ponne naye unnaum jattiyode oade viduvanuhal mande bathuram
உன் வாழ்க்கை உன் கையில்.,1,tamil_dataset,உன் வாழ்க்கை உன் கையில்.
அவனா நீ?,1,tamil_dataset,அவனா நீ?
v v நாங்கெல்லாம் கிராமபுரத்து ஆளுங்க இது எல்லாம் பாக்கும்போது விசித்திரமா இருக்கு..,0,tamil_dataset,v v நாங்கெல்லாம் கிராமபுரத்து ஆளுங்க இது எல்லாம் பாக்கும்போது விசித்திரமா இருக்கு..
வாழ்க வளர்க கத்ரீனா 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0,tamil_dataset,வாழ்க வளர்க கத்ரீனா 
கருணாநிதி பெருவாரியான மக்களால் வெறுக்கப்பட்டவர்.,0,tamil_dataset,கருணாநிதி பெருவாரியான மக்களால் வெறுக்கப்பட்டவர்.
Antha naaigala thokila podalaia savadinga pl veri naaigal amma appan irukana illaia,0,tamil_dataset,Antha naaigala thokila podalaia savadinga pl veri naaigal amma appan irukana illaia
The main culprit pollachi jayaraaman  settiyaar 😀,0,tamil_dataset,The main culprit pollachi jayaraaman settiyaar 
ஹோமோ பாலியல் பற்றி பேசுவதை தயவு செய்து தவிர்க்கவும் நமது இந்திய தமிழ் கலாச்சாரத்துக்கு உகந்ததல்ல  நமது நாடுதான் நாகரிகத்துக்கு முன்னோடி மற்ற நாடுகளை பார்த்து கற்க தேவை இல்லை,1,tamil_dataset,ஹோமோ பாலியல் பற்றி பேசுவதை தயவு செய்து தவிர்க்கவும் நமது இந்திய தமிழ் கலாச்சாரத்துக்கு உகந்ததல்ல நமது நாடுதான் நாகரிகத்துக்கு முன்னோடி மற்ற நாடுகளை பார்த்து கற்க தேவை இல்லை
அந்த அக்காவுக்கு நல்ல மனசு நன்பா,0,tamil_dataset,அந்த அக்காவுக்கு நல்ல மனசு நன்பா
போலீசார் லஞ்சம் வாங்குவதாலும் அவர்களின் அதிகாரத்தை துஸ்பிரயோகம் செய்வதால் மதிப்பிலக்கிறர். குடிகாரர்களை அவர்கள் செய்யும் செயல் அவர்களை கேவலப்படுத்துகிறது. நம்மைப் பற்றிய நண்மதிப்பை நாம் தான் உருவாக்க வேண்டும். கவர்மென்ட் வேலை பற்றி சொன்னீர்கள் அது மிக சரியான விஷயம்,0,tamil_dataset,போலீசார் லஞ்சம் வாங்குவதாலும் அவர்களின் அதிகாரத்தை துஸ்பிரயோகம் செய்வதால் மதிப்பிலக்கிறர். குடிகாரர்களை அவர்கள் செய்யும் செயல் அவர்களை கேவலப்படுத்துகிறது. நம்மைப் பற்றிய நண்மதிப்பை நாம் தான் உருவாக்க வேண்டும். கவர்மென்ட் வேலை பற்றி சொன்னீர்கள் அது மிக சரியான விஷயம்
That line...,0,tamil_dataset,That line...
ஒரு வாரத்துக்கு முன்னாடி குழந்தைகளை கொன்று அபிராமி ஓடி போனது காதலனோட இல்லைது காதலியோட ஆண்டவரே?,0,tamil_dataset,ஒரு வாரத்துக்கு முன்னாடி குழந்தைகளை கொன்று அபிராமி ஓடி போனது காதலனோட இல்லைது காதலியோட ஆண்டவரே?
Kalaignar the king of Indian politics.,0,tamil_dataset,Kalaignar the king of Indian politics.
Maaaaamaa ta vc vanthuuu pesuviaa maaruthiaaa unn ponnaaa okkaaanum annupu dii mundaa,1,tamil_dataset,Maaaaamaa ta vc vanthuuu pesuviaa maaruthiaaa unn ponnaaa okkaaanum annupu dii mundaa
Yogesh Waran இது இயற்கைக்கு மாறான செயல்....,1,tamil_dataset,Yogesh Waran இது இயற்கைக்கு மாறான செயல்....
"நீங்கள் திருநங்கையரை குறித்து கேட்கிரீர்கள் சரியா?  ஆனால் ஓரினசேர்கை என்பது ஒரு ஆணுக்குரிய ல்லது பெண்ணுக்குரிய முழுதகுதி இருந்தாலும் காமவெறி பிடித்து துணிகரமாக செய்கிற அவலட்சணம். திருநங்கையர் என்பவர்கள் இறைவனின் படைப்பி ஒரு அச்சுப்பிழை. அவர்களையும் அவலட்சணத்தையும் சம்பந்தப்படுத்தாதீர்கள். என் மனைவி ஒரு மாற்றுத்திறனாளி அது தவறு இல்லை, ஆனால் நானும் அவளைப்போல நடந்தால் அது தவறு. புரியும் என்று நம்புகிறேன்.நன்றி",1,tamil_dataset,"நீங்கள் திருநங்கையரை குறித்து கேட்கிரீர்கள் சரியா? ஆனால் ஓரினசேர்கை என்பது ஒரு ஆணுக்குரிய ல்லது பெண்ணுக்குரிய முழுதகுதி இருந்தாலும் காமவெறி பிடித்து துணிகரமாக செய்கிற அவலட்சணம். திருநங்கையர் என்பவர்கள் இறைவனின் படைப்பி ஒரு அச்சுப்பிழை. அவர்களையும் அவலட்சணத்தையும் சம்பந்தப்படுத்தாதீர்கள். என் மனைவி ஒரு மாற்றுத்திறனாளி அது தவறு இல்லை, ஆனால் நானும் அவளைப்போல நடந்தால் அது தவறு. புரியும் என்று நம்புகிறேன்.நன்றி"
பிச்சை எடுக்கும் பிச்சைக்கார திருநங்கைகளை ஆதரிப்பவர்கள் இருக்கும்வரை இந்த மாதிரியான அராஜகம் தொடர செய்யும். யாரும் பணம் கொடுத்து இந்த நாய்களை ஊக்குவிகாதீர்கள்,1,tamil_dataset,பிச்சை எடுக்கும் பிச்சைக்கார திருநங்கைகளை ஆதரிப்பவர்கள் இருக்கும்வரை இந்த மாதிரியான அராஜகம் தொடர செய்யும். யாரும் பணம் கொடுத்து இந்த நாய்களை ஊக்குவிகாதீர்கள்
Poda pppp,1,tamil_dataset,Poda pppp
Aliy Yila,0,tamil_dataset,Aliy Yila
போடா புண்ட,1,tamil_dataset,போடா புண்ட
நீங்க பிராங்க் பண்றீங்களா இல்ல என்ன பண்றீங்க ன்னு தெரியல ஆனா ஒரு நிமிஷம் கண் கலங்க வச்சிட்டீங்க திருநங்கையுடன் வாழ்க்கையை பத்தி நல்ல பதிவு,0,tamil_dataset,நீங்க பிராங்க் பண்றீங்களா இல்ல என்ன பண்றீங்க ன்னு தெரியல ஆனா ஒரு நிமிஷம் கண் கலங்க வச்சிட்டீங்க திருநங்கையுடன் வாழ்க்கையை பத்தி நல்ல பதிவு
அந்த அக்காவ கஷ்டபடுதிராதிங்க தல,0,tamil_dataset,அந்த அக்காவ கஷ்டபடுதிராதிங்க தல
அட சீ சீ சீ சீ மானம் கேட்ட கதை,0,tamil_dataset,அட சீ சீ சீ சீ மானம் கேட்ட கதை
