text,task_1,task_2,Processed_Post,Labels Set
#OPS #BanEVM  #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #Resign_PM_Modi #किसान_कार्मिक_संग_संग  #देश_ऑक्सीजन_मांगता_है https://t.co/utd8rtg8JA,0,NONE,पुरानीपेंशनबहालकरो भारतछोड़ो निजीकरणभारतछोड़ो कर्मचारीकाअधिकार निजीकरणकेख़िलाफ़इंक़लाब किसानकार्मिकसंगसंग देशऑक्सीजनमांगताहै,0
"बंगाल के BJP नेता ""भास्कर मंडल"" ने अपनी जान की भीख मांगी है! #BengalBurning https://t.co/2SyClg18ac",0,NONE,बंगाल के नेता भास्कर मंडल ने अपनी जान की भीख मांगी है,0
"RT @SatendraTJi: 🌝🌝🌝🌝🌝🌝🌝
रोज़ 'उस' चाँद का दीदार ही,
अब है दवाई .....
इश्क़िया #गर्दिश में हमको,
ये हरारत हो चली है .....

📓✒ सतेन्द्र तिवा…",0,NONE,रोज़ उस चाँद का दीदार ही अब है दवाई इश्क़िया गर्दिश में हमको ये हरारत हो चली है सतेन्द्र तिवा,0
"RT @shuklapinku: श्रीलंका में पहले बुरका बैन, फिर नकाब बैन उसके बाद अब विदेशी मौलानाओं को देश छोड़ने के लिए कहते हुए धमकी दी है कि निकल जाओ…",1,HATE,श्रीलंका में पहले बुरका बैन फिर नकाब बैन उसके बाद अब विदेशी मौलानाओं को देश छोड़ने के लिए कहते हुए धमकी दी है कि निकल जाओ,1
कोई नहीं मिला तो मैं आ जाता हूँ,0,NONE,कोई नहीं मिला तो मैं आ जाता हूँ,0
@Rautparody61 सारे देश का बजन एक गधा ढो रहा है अगर कही किसी सीधे पप्पू को बैठा दिया जाता देश की गद्दी पर तो अभी तक पोपकॉर्न समझ कर चबा गए होते,1,OFFN,सारे देश का बजन एक गधा ढो रहा है अगर कही किसी सीधे पप्पू को बैठा दिया जाता देश की गद्दी पर तो अभी तक पोपकॉर्न समझ कर चबा गए होते,1
#कानपुर फजलगंज थाना क्षेत्र मे प्राइवेट बसो मे मानको को ताक पर रखकर अवैध पार्सल का काम धड़ल्ले से जारी है @UPGovt @Uppolice @kanpurnagarpol @dgpup @UPGovt https://t.co/tz8ECYMDbV,0,NONE,कानपुर फजलगंज थाना क्षेत्र मे प्राइवेट बसो मे मानको को ताक पर रखकर अवैध पार्सल का काम धड़ल्ले से जारी है,0
मैं अपने Twitter id से #RJD से जुड़ी तमाम पोस्ट डिलीट कर रहा हूं।मुझे राजद के लोगो से कोई सम्बन्ध नही। #TejashwiYadav को दिल्ली पहुँचना चाहिये था! #osamasahab के साथ खड़ा होना चाहिये था!!  #StandwithOsamaSahab  #boycottrjd #ShahabuddinSaheb  #JusticeForShahabuddin,0,NONE,मैं अपने से से जुड़ी तमाम पोस्ट डिलीट कर रहा हूंमुझे राजद के लोगो से कोई सम्बन्ध नही को दिल्ली पहुँचना चाहिये था के साथ खड़ा होना चाहिये था,0
"#SundayMotivation
किसी भी धर्म ग्रंथ में मांस खाने का आदेश नहीं है ना ही अल्लाह हू अकबर ने खाया नहीं किसी को खाने का आदेश दिया जो भी खाएगा वह राक्षस होगा इसलिए मांस का प्रयोग ना कर!
देखिए हरियाणा न्यूज़ चैनल पर 6:00 AM से

https://t.co/8ksHE48X1U",0,NONE,किसी भी धर्म ग्रंथ में मांस खाने का आदेश नहीं है ना ही अल्लाह हू अकबर ने खाया नहीं किसी को खाने का आदेश दिया जो भी खाएगा वह राक्षस होगा इसलिए मांस का प्रयोग ना कर देखिए हरियाणा न्यूज़ चैनल पर से,0
जल्द ही सुहागरात भी चौराहे पर मनाना आधुनिकता कहलाएगा। जब यही सब आधुनिकता है तो कुत्ते-कुतिया हमसे अधिक आधुनिक हैं। ये फोकटी आधुनिकता ले डूबेगी। क्योंकि फटी जीन्स में आपको वही लोग नहीं देखना चाहते जो आपके शुभचिंतक है। बाकी दुनिया तो आपकी बहन बेटियों को नंगा देखना चाहती ही है। https://t.co/N97mpdiUA7,1,PRFN,जल्द ही सुहागरात भी चौराहे पर मनाना आधुनिकता कहलाएगा जब यही सब आधुनिकता है तो कुत्तेकुतिया हमसे अधिक आधुनिक हैं ये फोकटी आधुनिकता ले डूबेगी क्योंकि फटी जीन्स में आपको वही लोग नहीं देखना चाहते जो आपके शुभचिंतक है बाकी दुनिया तो आपकी बहन बेटियों को नंगा देखना चाहती ही है,1
"RT @Sunnydeolsir: एक काँग्रेसी चमचा आज कह रहा था :-
वो भी क्या दिन थे जब 4 लोग साथ मे लौटा लेकर जाते और साथ बैठकर हगते हुए सुख दुख की बाते…",1,PRFN,एक काँग्रेसी चमचा आज कह रहा था वो भी क्या दिन थे जब लोग साथ मे लौटा लेकर जाते और साथ बैठकर हगते हुए सुख दुख की बाते,1
"RT @TejBahudur: SP/BSP गटबंधन से टिकट मिलते ही मे भारतीय जवान देशद्रोही हो गया।

 और भाजपा से टिकट मिलते ही आतंकी प्रज्ञा देशभक्त हो गई! 😡",1,HATE,गटबंधन से टिकट मिलते ही मे भारतीय जवान देशद्रोही हो गया और भाजपा से टिकट मिलते ही आतंकी प्रज्ञा देशभक्त हो गई,1
इम्यून सिस्टमः कैसे बनाएं मजबूत https://t.co/UPYNCvZs9R,0,NONE,इम्यून सिस्टमः कैसे बनाएं मजबूत,0
@TeamIndiaFirst @DrGPradhan @priyankagandhi @JM_Scindia कांग्रेस का असल चेहरा पोल खोलती तस्वीर....,0,NONE,कांग्रेस का असल चेहरा पोल खोलती तस्वीर,0
शहाबुद्दीन साहब इकलौता सांसद जिन्होंने कारगिल युद्ध में पाकिस्तान के खिलाफ लड़ने की अनुमति मांगा थी।  तुम उस वक्त बकरी चोरी और साइकिल चोरी में व्यस्त थे देश और देश की आन बान शान के लिए कई किस्ते दे चुके हैं हम अपने खून की 😥😥  #JusticeForShahabuddin  #kargil,0,NONE,शहाबुद्दीन साहब इकलौता सांसद जिन्होंने कारगिल युद्ध में पाकिस्तान के खिलाफ लड़ने की अनुमति मांगा थी तुम उस वक्त बकरी चोरी और साइकिल चोरी में व्यस्त थे देश और देश की आन बान शान के लिए कई किस्ते दे चुके हैं हम अपने खून की,0
"@airtelindia तुम्हारी घटिया सर्विस और घटिया व्यवहार से तंग आकर मैं एयरटेल को लात मार रहा, जो देश का नही वो मेरा नही💪  #एयरटेल_भाड़_में_जाओ",1,HATE,तुम्हारी घटिया सर्विस और घटिया व्यवहार से तंग आकर मैं एयरटेल को लात मार रहा जो देश का नही वो मेरा नही एयरटेलभाड़मेंजाओ,1
#COVID19 #CovidHelp #coronavirus #COMING_SOON #BjpResponsibleForCoronaInIndia #news #Twitter #कोरोना_हारेगा_भारत_जीतेगा #कोरोनावायरस #jays #ABVP #BJP #Congress #retweet @RSSorg @ChouhanShivraj @narendramodi #ResignModi #ModiKaVaccineJumla retweet jarur kare #1000laik https://t.co/ZDl88iZZKj,0,NONE,कोरोनाहारेगाभारतजीतेगा कोरोनावायरस,0
"2014 में मोदी ने जनता से वोट मांगा था 
और आज 
जनता मोदीजी के लिये वोट मांग रही है।
कांग्रेस ने 55 साल राज किया फिर भी खुद प्रचार कर रही है
मोदी जी ने सिर्फ 55 महीने काम किया पर
प्रचार जनता कर रही है",1,HATE,में मोदी ने जनता से वोट मांगा था और आज जनता मोदीजी के लिये वोट मांग रही है कांग्रेस ने साल राज किया फिर भी खुद प्रचार कर रही है मोदी जी ने सिर्फ महीने काम किया पर प्रचार जनता कर रही है,1
RT @arshiazizkhan: दोस्तो इन्हे भी सुन ले इनको चुनाव मे हराने वाला कोई पैदा नहीं हुआ..ये ईश्वर के लिखे को भी मिटा सकते..!! 😇 कहा से लाते है…,0,NONE,दोस्तो इन्हे भी सुन ले इनको चुनाव मे हराने वाला कोई पैदा नहीं हुआये ईश्वर के लिखे को भी मिटा सकते कहा से लाते है,0
"RT @sanjaynirupam: दिल्ली के 111 साल के बुजुर्ग मतदाता बच्चन सिंह को साष्टांग दंडवत।
उन्होने आज लोकतंत्र के महायज्ञ में अपनी समिधा अर्पित…",0,NONE,दिल्ली के साल के बुजुर्ग मतदाता बच्चन सिंह को साष्टांग दंडवत उन्होने आज लोकतंत्र के महायज्ञ में अपनी समिधा अर्पित,0
"@nidhitripathi92 @AshokShrivasta6 दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी ,  कोरोना दिखा किन्तु अब हिंसा , लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं 😡😡  #PresidentsRuleinBengal  #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence",1,HATE,दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी कोरोना दिखा किन्तु अब हिंसा लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं,1
@carlos_filho3 elas falando: fo ekcekankoefnfsseseesromfln   я сукаमैं एक कुतिया हूँ,1,PRFN,मैं एक कुतिया हूँ,1
@ShayarImran दिल्ली सरकार हाफ चड्डी की गुलाम थी और रहेगी नफरत सिर्फ इसको उर्दू नाम वालों से ही है.. #ShahabuddinSaheb का मर्डर हुआ है। शाहबुद्दीन साहब के साथ इंसाफ होना चाहिए.. #JusticeForShahabuddin,1,HATE,दिल्ली सरकार हाफ चड्डी की गुलाम थी और रहेगी नफरत सिर्फ इसको उर्दू नाम वालों से ही है का मर्डर हुआ है शाहबुद्दीन साहब के साथ इंसाफ होना चाहिए,1
@Awesomely_Pari मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,0,NONE,मोदी तुम इस्तीफा दो हम तुम्हारे साथ है,0
"@AshokNimar @kakka_ji @narendramodi दमोदर मोदी गुजरात मे स्टेंशन में चाय बेचता थे 300₹चोरी के मामले में पकड़े गए 6 माह की सजा हुई,रेलवे का लोहा,कोयला,पाकिट मार कर दमोदर मोदी ने सोने के जेवर खरीदे मौका पाकर उनका बेटा मोदी घर से विवाहिता बीबी को बिना तीन तलाक बोले छोड़कर भाग गया। https://t.co/UFNOksnkCW",1,OFFN,दमोदर मोदी गुजरात मे स्टेंशन में चाय बेचता थे चोरी के मामले में पकड़े गए माह की सजा हुईरेलवे का लोहाकोयलापाकिट मार कर दमोदर मोदी ने सोने के जेवर खरीदे मौका पाकर उनका बेटा मोदी घर से विवाहिता बीबी को बिना तीन तलाक बोले छोड़कर भाग गया,1
1989 की वी पी सिंह सरकार और 2021 क नरेंद्र मोदी सरकार में कोई फर्क नहीं है।पहली कश्मीर में हिंदुओं के कत्लेआम और पलायन पर चुप रही।दूसरी बंगाल में हिंदुओं के कत्लेआम और पलायन पर मूकदर्शक है। #BengalBurning #BengalViolence,0,NONE,की वी पी सिंह सरकार और क नरेंद्र मोदी सरकार में कोई फर्क नहीं हैपहली कश्मीर में हिंदुओं के कत्लेआम और पलायन पर चुप रहीदूसरी बंगाल में हिंदुओं के कत्लेआम और पलायन पर मूकदर्शक है,0
RT @Dayweekaa: क्या जिस आदमी ने हिंदुओं को आतंकवादी कहा वह जीतेगा या 'भगवा आतंकवाद' साबित करने के लिए कांग्रेस ने जिस महिला को प्रताड़ित कि…,1,HATE,क्या जिस आदमी ने हिंदुओं को आतंकवादी कहा वह जीतेगा या भगवा आतंकवाद साबित करने के लिए कांग्रेस ने जिस महिला को प्रताड़ित कि,1
"RT @AgrwalRani: नसीरुद्दीन,जावेद,आमिर खान,

शाहरुख खान कहां खप गए 
सब के सब चमचों,

श्रीलंका में आज 612👈 मस्जिद पर बुलडोजर चलेगी।।

 जाओ तु…",1,HATE,नसीरुद्दीनजावेदआमिर खान शाहरुख खान कहां खप गए सब के सब चमचों श्रीलंका में आज मस्जिद पर बुलडोजर चलेगी जाओ तु,1
"अबे इतने पैसे बढे हैं तो सीधे ट्रॉफी खरीद लो ऐसे फिक्स करके क्या मैच जीतना होता है ग़द्दार 
#CSKvsMI #IPL2019Final 
#",1,PRFN,अबे इतने पैसे बढे हैं तो सीधे ट्रॉफी खरीद लो ऐसे फिक्स करके क्या मैच जीतना होता है ग़द्दार,1
@kprincecivil @AmitKum28953892 @Jitendr91780964 @sohansingh05 @HemantSorenJMM दोगला मुख्ममंत्री को हटाओ युवा बाबू ।। ये दोगला राजनीतिक करने आए है इनको झारखंडी युवा से मतलब नहीं सिर्फ पैसा कमाने आए है झूठ बोल कर सपना दिखाएं है इनको सपना कैसे होता है मालूम नहीं अब हम युवा दिखेंगे सपना @HemantSorenCM @Alamgircongress @RahulGandhi @nishikant_dubey  ye dishmaan https://t.co/stGiutHI9u,1,OFFN,दोगला मुख्ममंत्री को हटाओ युवा बाबू ये दोगला राजनीतिक करने आए है इनको झारखंडी युवा से मतलब नहीं सिर्फ पैसा कमाने आए है झूठ बोल कर सपना दिखाएं है इनको सपना कैसे होता है मालूम नहीं अब हम युवा दिखेंगे सपना,1
टाटाने देश  के जनता को कोरोणा से बचाने के लिये विदेशसे ऑक्सिजन के क्रायोजेनीक टॅंकर मंगवाये और चौकीदार का चोर अंबानी फॅमीली के साथ बचने के लिये विदेश भाग गया #CoronaPandemic #CoronaSecondWave #CoronaVaccine #oxigen #Ambani #ModiKaVaccineJumla,0,NONE,टाटाने देश के जनता को कोरोणा से बचाने के लिये विदेशसे ऑक्सिजन के क्रायोजेनीक टॅंकर मंगवाये और चौकीदार का चोर अंबानी फॅमीली के साथ बचने के लिये विदेश भाग गया,0
"वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी ""धृतराष्ट्र"" की तरह हैं| #राष्ट्रपति_जी_बंगाल_संभालो #BengalBurning #bengalvoilence @beingarun28 @OpIndia_com @sambitswaraj @DChaurasia2312 @AsYouNotWish",1,HATE,वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी धृतराष्ट्र की तरह हैं राष्ट्रपतिजीबंगालसंभालो,1
"मणिशंकर की जगह सैम पित्रोदा ने पूरी कर दी . .

सेल्फगोल . . .",0,NONE,मणिशंकर की जगह सैम पित्रोदा ने पूरी कर दी सेल्फगोल,0
@BrahamSamvad @JitinPrasada किसको मूर्ख बना रहे हो आप लोग ब्राह्मण इतना भी मूर्ख नही अपकी सत्ता लोलुपता साफ नजर आ गई ।अब समाज को उसके।हाल पर छोड़िये वो अपना भला खुद करलेगा,0,NONE,किसको मूर्ख बना रहे हो आप लोग ब्राह्मण इतना भी मूर्ख नही अपकी सत्ता लोलुपता साफ नजर आ गई अब समाज को उसकेहाल पर छोड़िये वो अपना भला खुद करलेगा,0
"RT @HindiAsiaville: Tejashwi yadav ने कहा, हमारे नीतीश चाचा का चेहरा एकदम उतर गया है, हमें तरस आता है

#Election2019 | @NitishKumar | @yada…",0,NONE,ने कहा हमारे नीतीश चाचा का चेहरा एकदम उतर गया है हमें तरस आता है,0
Shayari [मेरे आंसू में उनकी तस्वीर बसी है; पर वो मदरचोद किसी और से फसी है; देखना एक दिन मैं उसकी कबर खोदूंगा; और उसके कबर के ऊपर उसकी सहेली को छोडूंगा!(Chodunga)] Follow me for more #shayar #shayari #covid19 #Familyman2 #dilkibaat,1,PRFN,मेरे आंसू में उनकी तस्वीर बसी है पर वो मदरचोद किसी और से फसी है देखना एक दिन मैं उसकी कबर खोदूंगा और उसके कबर के ऊपर उसकी सहेली को छोडूंगा,1
वा रे मोदी #CoronaCases कम आए इसके लिए टेस्टिंग ही कम करवा दी  #ModiResign #ModiKaVaccineJumla #ModiMadeDisaster #coronavirus #ModiMustResign,0,NONE,वा रे मोदी कम आए इसके लिए टेस्टिंग ही कम करवा दी,0
"RT @VIKASHK98936087: @RahulGandhi कोने में बैठ कर चार अंधभक्त रो रहे थे,,,

मैंने पूछा क्या हुआ  ?

तो बोले

23 मई की तैयारी कर रहे हैं😂🤣😂…",0,NONE,कोने में बैठ कर चार अंधभक्त रो रहे थे मैंने पूछा क्या हुआ तो बोले मई की तैयारी कर रहे हैं,0
चलो अंदाज़ा लगाये @narendramodi  साहब 15 दिन में दाढ़ी कटाएंगे की नही?? #ResignPMmodi #ResignPM_Modi #BengalElection2021,0,NONE,चलो अंदाज़ा लगाये साहब दिन में दाढ़ी कटाएंगे की नही,0
