Post,Labels Set,Dataset,Processed_Post,Labels 4
GDP तर गेलाय खड्ड्यातच त्याबरोबर सरकारने ह्या २०१४ नंतर एकही संस्था उभा केली नाही आहे ते सगळे बंद करतोय.,0,hate_train,तर गेलाय खड्ड्यातच त्याबरोबर सरकारने ह्या २०१४ नंतर एकही संस्था उभा केली नाही आहे ते सगळे बंद करतोय,NOT
@Ram9699_ आत्ता एका फैन पोराला विचारले म्हणे राहतो कुरल्याला आणि 2 october पासून मन्नत समोर बसतो फक्त झोपायला घरी जातो 😡 याच्या बापाला जोड्याने मारले पाहिजे,1,hate_train,आत्ता एका फैन पोराला विचारले म्हणे राहतो कुरल्याला आणि पासून मन्नत समोर बसतो फक्त झोपायला घरी जातो याच्या बापाला जोड्याने मारले पाहिजे,HATE
@brand_bhahubali कांग्रेस मुक्त भारत,0,hate_train,कांग्रेस मुक्त भारत,NOT
@vidarbhi @GopichandP_MLC @Bapusaheb4912 अरे लवड्या तुझ बघ ना तू इथे कशाला तोंड घालतोय,1,hate_train,अरे लवड्या तुझ बघ ना तू इथे कशाला तोंड घालतोय,PRFN
@puja87892697 ये झवायला नागडा बसलोय लवड्यातून चिक ग़लतबयानी,1,hate_train,ये झवायला नागडा बसलोय लवड्यातून चिक ग़लतबयानी,PRFN
@nawabmalikncp डुक्कर पैदाईशी भक्तांना आणि चाळीस पैसे पेन्शन घेऊन भुंकणाऱ्या २०१४ नंतरच्या बारा बापाच्या स्वातंत्र्य सैनिकांना हे सहन होणार नाही.,1,hate_train,डुक्कर पैदाईशी भक्तांना आणि चाळीस पैसे पेन्शन घेऊन भुंकणाऱ्या २०१४ नंतरच्या बारा बापाच्या स्वातंत्र्य सैनिकांना हे सहन होणार नाही,HATE
"लिहिल्या शिवाय पूर्ण होणार अस अनमोल योगदान या दोन्ही ""परिसा"" समान नेत्यांच आपल्या महाराष्ट्राच्या मातीला आहे..! महाराष्ट्राच्या राजकारणातील आणि समाजकारणातील दोन धुरंधर व्यक्तीमत्व..",0,hate_train,लिहिल्या शिवाय पूर्ण होणार अस अनमोल योगदान या दोन्ही परिसा समान नेत्यांच आपल्या महाराष्ट्राच्या मातीला आहे महाराष्ट्राच्या राजकारणातील आणि समाजकारणातील दोन धुरंधर व्यक्तीमत्व,NOT
हा महाराष्ट्र अर्ध्या भारताला जगवतोय याच खर दुखणे आहे या गुजराती लोकांना,0,hate_train,हा महाराष्ट्र अर्ध्या भारताला जगवतोय याच खर दुखणे आहे या गुजराती लोकांना,NOT
लोखंडाचा गंज हेच त्याच्या नाशाचं कारण बनतं. माणसाचंही तसंच आहे त्याचे विचारच त्याला हरवतात.,0,hate_train,लोखंडाचा गंज हेच त्याच्या नाशाचं कारण बनतं माणसाचंही तसंच आहे त्याचे विचारच त्याला हरवतात,NOT
"@Anand_Dasa88 ब्राह्मण म्हणायच बामण न्हाइ. ३% नडायल्यात? ६० वर्ष सरकारात राहुन काय झक मारली काय ? ७० वर्ष शिक्षण, नोकरीत प्राधान्य, फुकटसोकेपणा कोण पोसला ओ वकील? वरती तुमचा जातीवादाचा शीक्का मारुन घ्यायचा? फुकटच मीळत नाही म्हणुन आंदोलन केलय का कवा?लाल सलामच ज्ञान नकोय.",1,hate_train,ब्राह्मण म्हणायच बामण न्हाइ ३ नडायल्यात ६० वर्ष सरकारात राहुन काय झक मारली काय ७० वर्ष शिक्षण नोकरीत प्राधान्य फुकटसोकेपणा कोण पोसला ओ वकील वरती तुमचा जातीवादाचा शीक्का मारुन घ्यायचा फुकटच मीळत नाही म्हणुन आंदोलन केलय का कवालाल सलामच ज्ञान नकोय,PRFN
खायला नाही दाणा... हिन्दु राष्ट्र म्हणा.. अरं! तुझं घरचं बघ ना! नेपाळमध्ये सगळं हिंदूच आहेत... भारतात येऊन चौकीदारी करतात.. कशाला चौकीदाराच्या नादाला लागून ढूंगण शेकून घेतोस... भक्तांचे सोडा ते रक्ताचे नसतात.. कालीचरणसारखे बाबा उद्याच्या राजकारणात असतात..,1,hate_train,खायला नाही दाणा हिन्दु राष्ट्र म्हणा अरं तुझं घरचं बघ ना नेपाळमध्ये सगळं हिंदूच आहेत भारतात येऊन चौकीदारी करतात कशाला चौकीदाराच्या नादाला लागून ढूंगण शेकून घेतोस भक्तांचे सोडा ते रक्ताचे नसतात कालीचरणसारखे बाबा उद्याच्या राजकारणात असतात,HATE
@SachinJ81817164 @atulpatil7722 @SirrrJadeja @narendramodi तुझ्या आईची पुच्ची.,1,hate_train,तुझ्या आईची पुच्ची,PRFN
"आपले मूल हाताबाहेर जाणे,हा पालकांसाठी सर्वात मोठा धक्का असतो.कारण मूल हे एक प्रॉपर्टी/शोकेस म्हणून पालकांनी जपून ठेवलेलं असतं.",0,hate_train,आपले मूल हाताबाहेर जाणेहा पालकांसाठी सर्वात मोठा धक्का असतोकारण मूल हे एक प्रॉपर्टीशोकेस म्हणून पालकांनी जपून ठेवलेलं असतं,NOT
"साहेबांकडे कुठले पद आहे,असे विचारणे म्हणजे ""शेंबड्या पोरानं आजोबांना प्रश्न विचारण्यासारखे आहे"" असो, ED ने भागले नसेल तर अजूनही साहेबांचा नाद शिल्लकच आहे म्हणायचे.करून बघा👍 #SharadPawar #Nationalistcongressparty https://t.co/KYiyf9bJjI",1,hate_train,साहेबांकडे कुठले पद आहेअसे विचारणे म्हणजे शेंबड्या पोरानं आजोबांना प्रश्न विचारण्यासारखे आहे असो ने भागले नसेल तर अजूनही साहेबांचा नाद शिल्लकच आहे म्हणायचेकरून बघा,OFFN
@INCMaharashtra अरे 44 आमदारांची पार्टी.. ती वेळ अथवा.. सगळं राज्य quarantine होतं. आणि तुम्ही migrants साठी tickets काढून दिले. अक्षम्य गुन्हा. फक्त पैसे दिसतात बाकी काही Governance नाहिये.. जनता उत्तर देणार. @INCIndia देशातून जाणार,0,hate_train,अरे आमदारांची पार्टी ती वेळ अथवा सगळं राज्य होतं आणि तुम्ही साठी काढून दिले अक्षम्य गुन्हा फक्त पैसे दिसतात बाकी काही नाहिये जनता उत्तर देणार देशातून जाणार,NOT
@abpmajhatv Abp न्यूज चॅनेल अणि चाटू पत्रकार पवारांच्या तुकड्यावर वर जगणारे भाडोत्री न्यूज चॅनेल,1,hate_train,न्यूज चॅनेल अणि चाटू पत्रकार पवारांच्या तुकड्यावर वर जगणारे भाडोत्री न्यूज चॅनेल,HATE
@KGanga41 गटार काढणाऱ्याची औलाद असलीच ती😹😹😹😹 भंगी लवड्याची जमात😹😹 लायकीच तुमची ती मादरचोद लवड्याच्यांनो. घरात खायला डाळ नाही😹😹 त्या बाबासाहेबानी हक्क दिलाय म्हणून उडायच तेच्या जीवावर😹😹,1,hate_train,गटार काढणाऱ्याची औलाद असलीच ती भंगी लवड्याची जमात लायकीच तुमची ती मादरचोद लवड्याच्यांनो घरात खायला डाळ नाही त्या बाबासाहेबानी हक्क दिलाय म्हणून उडायच तेच्या जीवावर,PRFN
@TV9Marathi @AmitShah शाह फडणवीस आणि ठाकरेंनी जी पत्रकार परिषद घेतली होती ज्यामध्ये सांगितलं होतं की सत्ता आणि पदांच समसमान वाटप होईल तेव्हाच का नाही बोलले की मुख्यमंत्री भाजप चा राहील म्हणून..तेव्हा तोंड का नाही उघडलं,0,hate_train,शाह फडणवीस आणि ठाकरेंनी जी पत्रकार परिषद घेतली होती ज्यामध्ये सांगितलं होतं की सत्ता आणि पदांच समसमान वाटप होईल तेव्हाच का नाही बोलले की मुख्यमंत्री भाजप चा राहील म्हणूनतेव्हा तोंड का नाही उघडलं,NOT
लॅटिन अमेरिका आणि आशियामध्ये कोरोनाव्हायरसच्या ओमिक्रॉन प्रकाराच्या प्रकरणांमध्ये दिवसेंदिवस वाढ झाली आहे. #Olympics #DainikGomantakNews #Asia #America #Japan #HongKong https://t.co/2klmuW4RIp,0,hate_train,लॅटिन अमेरिका आणि आशियामध्ये कोरोनाव्हायरसच्या ओमिक्रॉन प्रकाराच्या प्रकरणांमध्ये दिवसेंदिवस वाढ झाली आहे,NOT
मोहीम पूर्ण करत फोडून बाजूला करताना दगड अन मातीने गाडलेला पायरी मार्ग मोकळा करण्यात आला... पायरी संवर्धनाचे हे स्वराज्य कार्य कर्तव्य म्हणून अनमोल योगदान देणाऱ्या प्रत्येक जिवलग सह्याद्रीच्या दुर्गसेवक सहकाऱ्यांच्या सदैव ऋणात... आजच्या दुर्गसंवर्धन मोहिमेत सहभागी होऊन मोहीम,0,hate_train,मोहीम पूर्ण करत फोडून बाजूला करताना दगड अन मातीने गाडलेला पायरी मार्ग मोकळा करण्यात आला पायरी संवर्धनाचे हे स्वराज्य कार्य कर्तव्य म्हणून अनमोल योगदान देणाऱ्या प्रत्येक जिवलग सह्याद्रीच्या दुर्गसेवक सहकाऱ्यांच्या सदैव ऋणात आजच्या दुर्गसंवर्धन मोहिमेत सहभागी होऊन मोहीम,NOT
शेजारणीने घरी येऊन पुच्ची दिली https://t.co/odtvSV6x4u,1,hate_train,शेजारणीने घरी येऊन पुच्ची दिली,PRFN
@SHIVRAMVAIDYA @girish_bhau अहिंसेमुळे हिंसा होत होती ह्या गोष्टीचा पत्ताच नाही.,0,hate_train,अहिंसेमुळे हिंसा होत होती ह्या गोष्टीचा पत्ताच नाही,NOT
@BhaiyaPatil त्याच भगत सिंग यांच्या पाव्हण्याने तुझ्या सायबाच्या कानाखाली जाळ काढून चड्डीत मुतायला लावलं होतं हे विसरता येणार नाही....... 😂😂😂😂😂,1,hate_train,त्याच भगत सिंग यांच्या पाव्हण्याने तुझ्या सायबाच्या कानाखाली जाळ काढून चड्डीत मुतायला लावलं होतं हे विसरता येणार नाही,OFFN
एव्हडा राग होता त्यांचा?हत्तीपायी दिले म्हणून!?,0,hate_train,एव्हडा राग होता त्यांचाहत्तीपायी दिले म्हणून,NOT
@parthajitpawar @PCcityPolice @pcmcindiagovin सदैव जनतेच्या हितासाठी उभे राहणारे! आमचे दैवत युवा नेते पार्थदादा पवार❣️,0,hate_train,सदैव जनतेच्या हितासाठी उभे राहणारे आमचे दैवत युवा नेते पार्थदादा पवार,NOT
@yogi_9696 ह्या असल्या भिकार विचार सरणी मूळे 13 चा 1 आमदार झालाय. ह्याच्या डोक्यात असले विचार यायला च नको होते.बिनडोक इंजिन.विकलेला बिहारी,0,hate_train,ह्या असल्या भिकार विचार सरणी मूळे चा आमदार झालाय ह्याच्या डोक्यात असले विचार यायला च नको होतेबिनडोक इंजिनविकलेला बिहारी,NOT
१० सरकारी शाळांना ऑलिम्पिक हॉकी खेळाडूंची नावे; पंजाब सरकारचा मोठा निर्णय https://t.co/O04jCRbMxT,0,hate_train,१० सरकारी शाळांना ऑलिम्पिक हॉकी खेळाडूंची नावे पंजाब सरकारचा मोठा निर्णय,NOT
संसदेत बोलताना पक्षाचे स्टार प्रचारक असल्या सारखं बोलतात. ज्या राज्याच्या निवडणुका तिथलं भरभरून गुणगान अन जिथे सत्ता नाही तिथलं मीठ मात्र अळणी. महाराष्ट्रा बद्दल असणारा आकस आणि द्वेष वेळोवेळी बोलतांना दिसून येतो शेठ. #महाराष्ट्रद्रोही_bjp,1,hate_train,संसदेत बोलताना पक्षाचे स्टार प्रचारक असल्या सारखं बोलतात ज्या राज्याच्या निवडणुका तिथलं भरभरून गुणगान अन जिथे सत्ता नाही तिथलं मीठ मात्र अळणी महाराष्ट्रा बद्दल असणारा आकस आणि द्वेष वेळोवेळी बोलतांना दिसून येतो शेठ महाराष्ट्रद्रोही,OFFN
आशिष सर रोहित शर्माला कॅप्टनसी/बॅटिंग साठी काही टिप्स द्यायच्या असतील तर आताच द्या. मॅच झाल्यावर देऊन काय उपयोग नाही होत🙏 @ashish_jadhao #NZvsIND,0,hate_train,आशिष सर रोहित शर्माला कॅप्टनसीबॅटिंग साठी काही टिप्स द्यायच्या असतील तर आताच द्या मॅच झाल्यावर देऊन काय उपयोग नाही होत,NOT
@Nandkum72302254 @thodkyaat @meNeeleshNRane @rautsanjay61 @ShivsenaComms @BJP4India कारे आय झवाड्या,1,hate_train,कारे आय झवाड्या,PRFN
@161803NmNspeaks कोल्ला तुला निघ झाटू,1,hate_train,कोल्ला तुला निघ झाटू,PRFN
@Partner_97 @Late_Night1991 माज आलेला जवान बैल,1,hate_train,माज आलेला जवान बैल,OFFN
@prathameshpps हे कोणा तरी अमराठी माणसाला चालवण्यास दिलयं बहुतेक,0,hate_train,हे कोणा तरी अमराठी माणसाला चालवण्यास दिलयं बहुतेक,NOT
@MukundGarud5 @TV9Marathi @BJP4Maharashtra @ShivSena माज तर महाराष्ट्रात उतरवलाय आता फक्त खाज उतरवायचीय🤣🤣🤣,1,hate_train,माज तर महाराष्ट्रात उतरवलाय आता फक्त खाज उतरवायचीय,HATE
"बोगस, बेगडी आणि हिंदुधर्मविरोधी अनिस, मुस्लिमाना अक्कल शिकवायला हिंमत लागते",1,hate_train,बोगस बेगडी आणि हिंदुधर्मविरोधी अनिस मुस्लिमाना अक्कल शिकवायला हिंमत लागते,HATE
शेजारणीची सुंदर पुच्ची https://t.co/GqXYrwlt7W,1,hate_train,शेजारणीची सुंदर पुच्ची,PRFN
"खासदार प्रफुल पटेल जी, छत्रपती मालोजीराजे जी, राज्यमंत्री विश्वजित कदम जी यांच्यासह आज ऑल इंडिया श्री. शिवाजी मेमोरिअल एज्युकेशन सोसायटीला भेट दिली. https://t.co/kPyHYGkQDF",0,hate_train,खासदार प्रफुल पटेल जी छत्रपती मालोजीराजे जी राज्यमंत्री विश्वजित कदम जी यांच्यासह आज ऑल इंडिया श्री शिवाजी मेमोरिअल एज्युकेशन सोसायटीला भेट दिली,NOT
भोसडीच्या नो दोन पोराचे बाप होणार तरी तो अलार्म काका वाला जोक दिवाळी दिवशी सकाळी सकाळी फॉरवरड करतात गेली 4 वर्षे🙂,1,hate_train,भोसडीच्या नो दोन पोराचे बाप होणार तरी तो अलार्म काका वाला जोक दिवाळी दिवशी सकाळी सकाळी फॉरवरड करतात गेली वर्षे,HATE
"@sanjaynirupam छत्रपती शहाजी राजे, छत्रपती शिवाजी महाराज, छत्रपती संभाजी महाराज, राजे महाराणा प्रताप, गुरू गोविंद सिंग आमचे दैवत आमचे पिता आहेत.🙏🙏🙏 अखंड सशस्त्र क्रांतिकारक हे आमचे राष्ट्रपिता आहेत🙏🙏🙏 स्वतःच्या हट्टा पाई देशाचे तुकडे केलेला आमच्या साठी तो देश द्रोहीच!!!",0,hate_train,छत्रपती शहाजी राजे छत्रपती शिवाजी महाराज छत्रपती संभाजी महाराज राजे महाराणा प्रताप गुरू गोविंद सिंग आमचे दैवत आमचे पिता आहेत अखंड सशस्त्र क्रांतिकारक हे आमचे राष्ट्रपिता आहेत स्वतःच्या हट्टा पाई देशाचे तुकडे केलेला आमच्या साठी तो देश द्रोहीच,NOT
खिडकीच्या बाहेरील फुललेल्या फुलांकडे ज्यांचे कधीही लक्ष जात नाही.... ते ट ट्विटरवर फुलांचे ट्विटस करतात. पाऊस बरसायला लागल्यावर ट्विटरवर कवितांचा पाऊस पाडणारे प्रत्यक्षात मात्र पावसाळ्यातील चिकचिक बघून निषेधाच्या छत्र्या उघडतात.,0,hate_train,खिडकीच्या बाहेरील फुललेल्या फुलांकडे ज्यांचे कधीही लक्ष जात नाही ते ट ट्विटरवर फुलांचे ट्विटस करतात पाऊस बरसायला लागल्यावर ट्विटरवर कवितांचा पाऊस पाडणारे प्रत्यक्षात मात्र पावसाळ्यातील चिकचिक बघून निषेधाच्या छत्र्या उघडतात,NOT
