GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Education,Books,Audiobooks,Duet narration,Spotify,"voice, acting, modulation, pitch, sound quality, SYNCHRONIZATION, Synchronization(offline availibility)",Acting,Negative,सपोटिफ़ाई पर कहानियों के लिए करैक्टर के व्यवहार में बदलाव अच्छा नहीं है। वास्तव में इजी फ्लो के लिए नरेटर की एक्टिंग स्किल्स पर काम करना चाहिए।
Entertainment,Apps,Entertainment,Podcasts,Google Podcasts,"free-trial, offline access, recommendation based on interests, popular and trending shows in comedy, news, sports and more",Recommendations based on interests,Negative,रेकमेंडेशन फीचर इतना खराब है कि मुझे समझ नहीं आ रहा है कि वे मेरे इंटरेस्ट ढूंढ कहाँ से रहे हैं। एकदम बेकार है यह!
Entertainment,Amusement,Parks,For children,ISKCON NVCC Kids Play Area,"entry price, rides and attractions, developmental activities,Play area,maintenance",Play Area,Negative,काफी भीड़ वाली जगह है ये!
Pets,Dogs,Supplies,Dog apparels,KUTKUT,"dress/shirt, soft breathable material, half sleeves/sleeveless, pet comfortable raincoat with detachable hood",deformed,Negative,इनकी धोने के बाद आकर खराब हो जाती है।
Entertainment,Movies,Genres,Documentary,Michael Jackson's This Is It,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy",Factual accuracy,Negative,एमजे के जीवन की जानी मानी घटनाओं को इस हद तक तोड़ा-मरोड़ा गया है कि अब एमजे के म्यूजिक फॉलोअर इसे महसूस कर सकते हैं।
Pets,Dogs,Supplies,Collars,Foodie Puppies,"leather/nylon, half chain half choker, design, waterproof, adjustable, metal buckle","Material, Buckle",Positive,"यह आरामदायक है और हाई क्वालिटी, स्ट्रॉन्ग और वियरेबल मटेरियल है। ये कुत्ते कॉलर पपीज़ की स्किन के लिए परफेक्ट हैं, जो अनावश्यक टाइटनिंग और इचिनेस या रैशेज को रोकता है। बकल ऑन और ऑफ़ करना बहुत आसान है।"
Health/Wellness,Food,Eats/Beverages,Bakery,Mrs Magpie (Keyatala),"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious, variety, service time, fresh, price","Tasty cakes, pastry, delicious",Positive,केक और पेस्ट्री का टेस्ट स्वादिष्ट और ताज़ा है। अद्भुत स्वाद और टेक्सचर वाले विभिन्न प्रकार के आइटम हैं।
Entertainment,Movies,Genres,Fantasy,Mowgli: Legend of the Jungle,"CGI and visual effects, screenplay adaptation, whimsical score, enchanting characters, magical,",Screenplay adaptations,Negative,"डार्क, डिप्रेसिंग और एक हिरण को मारने के बाद वे उसकी जान निकलते हुए उसकी आँखों में देखते हैं। यह बच्चों के लिए नहीं है, जब तक आप नहीं चाहते कि आपके बच्चे डिप्रेस्ड हो जाएं।"
Health/Wellness,Living,Stay/ Experience,Homestay,Vikkyz Homestay (Darjeeling),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Friendly hosts, calm and serene, location, wifi",Positive,"होस्ट सुपर फ्रेंडली और हेल्पफुल हैं, यह जगह दार्जिलिंग के मेन बाजार से थोड़ी दूर है और इसलिए शांत और निर्मल है। लोकेशन भी अच्छा है, घूम स्टेशन से केवल 5 मिनट की पैदल दूरी पर है और वाई-फाई कनेक्टिविटी भी ठीक काम करती है।"
Education,Books,Audiobooks,Full cast narration,BBC Sounds,"voice, acting, modulation, pitch, sound quality, cinematic feeling",cinematic feeling,Positive,किसी भी एप्लिकेशन पर कभी भी सुनी गई सबसे बढ़िया ऑडियोबुक। हर एक के लिए सुंदर सिनेमैटिक फीलिंग के साथ रोमांचक नावेल जो मैंने अब तक सुने हैं।
Entertainment,Movies,Genres,Fantasy,Jumanji: Welcome to the Jungle,"CGI and visual effects, screenplay adaptation, whimsical score, enchanting characters, magical,","Magical, CGI and Visual Effects",Positive,क्या मैजिकल रिफ्रेशिंग पीस है। सीजीआई और स्पेशल इफेक्ट्स के माध्यम से इस तरह के सुंदर दृश्य और वातावरण।
Entertainment,Movies,Genres,Documentary,1232 KMS,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy","emotional, detailed narration, factual accuracy",Positive,लॉकडाउन के छुपे हुए पहलु को बेहतरीन तरीके से दर्शाया गया है। मजदूरों की भावनाओं को झकझोर देने वाली जर्नी।
Education,Books,Children's book,Comics,Tinkle,"pictures, cartoon characters, Comic strips, Short stories, colourful, fables, fairy tales, puzzles","Short stories, colourful",Positive,"छोटी कहानियों को पढ़ने से उनमें पढ़ने की आदत डालने में मदद मिलती है, इंग्लिश पर कमांड को बेहतर बनाने में मदद मिलती है। यह किताब बेहद रंगीन और आकर्षक है।"
Home,Appliances,Air cooler,Tower air cooler,Cello,"sleek and elegant, height, cool tank capacity, controller type, looks, blower",Controller Type,Negative,"सेलो टावर एयर कूलर के अपने नए मॉडलों में ह्यूमिडिटी कंट्रोलर प्रदान कर रही है। लेकिन कंट्रोलर की क्वालिटी बहुत खराब है, इसलिए यह हमेशा एक ही तरह की ठंडी हवा देता है।"
Building Material,Construction,Binding material,Cement,Rapid Hardening Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Strength,Positive,आरएचसी की 1 दिन की ताकत ओपीसी की 3 दिनों की ताकत के बराबर है और आरएचसी की 3 दिन की ताकत ओपीसी की 7 दिनों की ताकत के बराबर है।
Hobbies,Cycling,Bicycles,mountain bikes,GT,"suspension, gears, warranty, ergofit, frame, mudguards, cost, lightwieght, parts availibility",lightwieght,Negative,"स्टॉक कंपोनेंट्स सबसे अच्छे नहीं हैं, साथ ही वे हैवी हैं।"
Entertainment,Movies,Genres,Action,Morbius,"action-packed, dangerous stunts, adventure, exciting, realistic fighting scenes, energetic performance","Action-Packed, adventure, exciting",Positive,"वास्तव में फोर्ज़ा फ़्रैंचाइज़ी की ओर से अविश्वसनीय एक्शन, रोमांचक दृश्यों और रोमांच के साथ सर्वश्रेष्ठ पेशकश। अमोरबस वास्तव में आपको दिखाता है कि 308 नेग्रा अरोयो लेन में रहने वाले वाल्टर व्हाइट कोकेन बनाने और स्टेज 4 टर्मिनल कैंसर होने के बारे में कैसे सोचते हैं।"
Food,Grocery,Biscuits and Cookies,salted biscuits,Parle Monaco salted biscuits,"crispy, light snack, sweet and salt, easy to digest, no artificial colour","Crispy, no artificial colour, quantity, light snack",Positive,मोनाको बिस्किट बहुत क्रंची हैं। पॉकेट-फ्रेंडली प्राइस में आपको बिस्किट की अच्छी क्वालिटी मिलती है।
Pets,Dogs,Supplies,Dog carriers,MidWest Homes for Pets,"hard sided/soft sided, two door top load, portable folding, airlines approved, breathable mesh panel",sharp edges,Negative,इसमें डोर ओपनिंग पर तारों के सिरों पर बहुत नुकीले किनारे हैं जो पालतू जानवर को चोट पहुंचा सकते हैं।
SPORTS/GAMES,Equipment,badminton,shuttlecock,Yonex Mavis 350 Nylon Shuttlecock,"durable, feather/plastic skirt,user comfort at impact, control, foam tip/cork, price",durable,Positive,"यदि आप अच्छे से खेलते हैं और जोर से स्मैश नहीं करते हैं तो यह बिना टूटे आसानी से लगभग 10 गेम निकाल सकता है। यदि भाग्य आपका साथ दे, तो आप आसानी से केवल एक शटल के साथ लगभग 3 घंटे खेल सकते हैं और 5 घंटे यदि आप थोड़ा कटने-फटने से कोई फर्क नहीं पड़ता है।"
Education,Books,Audiobooks,Full cast narration,Audible,"voice, acting, modulation, pitch, sound quality, cinematic feeling",Voice,Positive,क्लासिक पोयरोट!! पोयरोट के बेहतरीन केस को इससे बेहतर आवाज नहीं दी जा सकती थी और इसने कहानियों को सहजता से जीवंत कर दिया।
Education,Books,Children's book,Painting,Figure Drawing for Kids: A Step-By-Step Guide to Drawing People (Drawing for Kids Ages 9 to 12),"figure drwaing, colouring book, adorable designs, bold thick outlines, Cost/Price, Quality",Figure drawing,Positive,एंजेला रिज्जा एक आश्चर्यजनक रूप से प्रतिभाशाली कलाकार हैं जो इस उत्कृष्ट फिगर ड्राइंग बुक में क्राफ्ट का प्यार शेयर करती हैं। न केवल बच्चों बल्कि सभी उम्र के कलाकारों के लिए लेसन के साथ एक्सरसाइजेज़ चैलेंजिंग और मजेदार हैं।
Home,Appliances,Air cooler,Personal air cooler,Hindware,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",Cool Tank Capacity,Negative,"एयर कूलर का टैंक बहुत छोटा है, और इसमें शायद ही 10 लीटर पानी आता है। मुझे लगभग हर दिन टैंक को फिर से भरना पड़ता है जो परेशान कर देता है।"
Travel,Bags and luggage,Bags,Handbags,Zara,"leather/foam, everyday use/occassion, washable, no of pockets","Good quality, long lasting and value for money.",Positive,जारा का हैंडबैग अपनी क्वालिटी और ड्यूरेबिलिटी के लिए जाना जाता है। इसका लैदर मुलायम और मजबूत होता है। इसमें अच्छी गुणवत्ता वाले ज़िप के साथ कई पॉकेट हैं।
Entertainment,Apps,Entertainment,Podcasts,Aawaz Podcasts & Audio Stories,"free-trial, offline access, recommendation based on interests, popular and trending shows in comedy, news, sports and more",Offline Access,Positive,"आवाज(Aawaz) डाउनलोड करने और सुनने के लिए फ्री है। इसमें कोई ऐड या इंटरप्शन नहीं है, आप अनलिमिटेड एपिसोड भी डाउनलोड कर सकते हैं और ऑफ़लाइन सुन सकते हैं!"
Hobbies,Cycling,Bicycles,mountain bikes,Evil,"suspension, gears, warranty, ergofit, frame, mudguards, cost, lightwieght, parts availibility",Frame,Negative,"बाइक की छोटी लाइन-अप, केवल कार्बन फ्रेम द्वारा डिज़ाइन और निर्मित किया गया है।।"
Transportation,Surface,Roadways,Taxi,Uber,"Affordable rates, experienced drivers, safety, cleanliness, insurance, emergency alert, local rides/ out-station bookings, online booking, digital wallets, pre/postpaid",Experienced drivers Affordable rates,Negative,"""डिमांड के साथ रेट्स बहुत अधिक हो जाते हैं। हवाई अड्डे या रेलवे स्टेशन पर पीक आवर्स के दौरान, आपको सामान्य किराए से तीन से चार गुना भुगतान करना पड़ता है।"
Entertainment,Movies,Genres,Documentary,Sachin: A Billion Dreams,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy","awe-inspiring, heart-touching",Positive,खेल के लीजेंड या आप कह सकते हैं कि क्रिकेट के भगवान की एक प्रेरक और दिल को छू लेने वाली कहानी।
Baby Products,Baby,Clothing,Winterwear (boys and girls),Monte Carlo,"cotton/wool, soft fabric, wash care","wool, wash care",Positive,मैंने दो स्वेटर ऑडर किए थे और दोनों ही अच्छी क्वॉलिटी की ऊन के हैं। फैब्रिक नेचुरल लग रहा है और बिल्कुल भी स्क्रैची नहीं है जैसा कि अन्य लोगों ने रिव्यु दिया है।
Home,Appliances,Air-condition,Split AC,Godrej,"PM 2.5 filter, dust filter, air purification filter, capacity, coil material, wifi",Capacity,Negative,"इसकी न्यूनतम क्षमता 1.5 टन है, जो कि100 sq. ft. केएक छोटे से कमरे के लिए बहुत अधिक है, जो आम तौर पर एक मध्यम वर्ग के घर में किसी भी जगह का क्षेत्र है। मेरा सारा पैसा ले लो!!!"
Transportation,Air,Flights,International,Emirates,"luggage allowance, affordable rates, luxury, food, travel insurance, safety, customer service",Rates Luggage allowance,Negative,"""यदि लगेज लिमिट से अधिक है, तो इसपर तुरंत भारी शुल्क लगाया जाता है। """
Pets,Dogs,Health supplements:,Vitamins,Wowdog,"healthy and lustrous coat, skin, calcium, paw tablet, digestive tablet, liver tonic, dewarming, antioxidants",huge size,Negative,गोलियों का आकार बहुत बड़ा है।
Pets,Dogs,Grooming,Shampoo,Meat Up,"normal/dry, liquid/spray, scent, natural ingredients, tick and flea repellent",Hair. skin issues,Negative,कुत्ते के बाल गुच्छों में झड़ने लगते हैं और इससे रैश होते हैं।
Hobbies,Photography,Camera accessories,Flash accessories,Shopee Mini,"diffuser, modifier, battery, material",Diffuser,Positive,"किसी भी ऑन-कैमरा फ्लैश के लिए उपयुक्त, पोर्ट्रेट्स के लिए बहुत अच्छे से काम करता है।"
Health/Wellness,Food,Eats/Beverages,Bakery,Nahoum's (Nahoum and Sons Private Limited Confectioners),"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious,variety, service time, fresh, price","Tasty cakes, pastry, signature foods, delicious, variety",Positive,"120 साल पुरानी यहूदी बेकरी अपनी पौराणिक प्रसिद्धि पर खरा उतरती है। लेमन पफ और रिच प्लम केक के सिग्नेचर डिश के साथ अन्य आइटम जैसे चॉकलेट एक्लेयर, चिकन पैटी, मफिन और रम बॉल्स बहुत ही स्वादिष्ट हैं;"
Home,Appliances,Fan,Exhaust fan,Anchor cool air,"remove moisture/unpleasant odour, air delivery speed, rust proof body and blade, front shutter, Blade strength",Blade strength,Positive,एंकर के एग्जॉस्ट फैन में दिए किए गए ब्लेड की पॉवर बहुत अच्छी है। मैं सालों से इस फैन का इस्तेमाल कर रहा हूं और यह उसी लेवल पर परफॉर्म कर रहा है।
Home,Appliances,Air-condition,Inverter AC,Croma,"AI Dual Inverter, AI Convertible 6-in-1 cooling, HD Filter with Anti-Virus Protection, auto clean, capacity, coil material, wifi",AI Dual Inverter,Negative,"क्रोमा एसी का एआई मोड, जिसे ऑटो ऑपरेशन मोड के रूप में भी जाना जाता है, कमरे के तापमान के आधार पर पंखे की गति और तापमान को ऑटोमेटिकली सेट करता है। चूंकि यह आर्टिफीशियल इंटेलिजेंस पर काम करता है, इसलिए परिणाम इतने अच्छे नहीं हैं।"
SPORTS/GAMES,Equipment,badminton,rackets,Silver Sports,"carbon frame, flexible shaft, even balance, hitting power, light-weight, durable, robust, grip, price",Carbon frame,Negative,सिल्वर स्पोर्ट्स रैकेट की सबसे बुरी चीज़ इसमें कार्बन फ्रेम की कमी है।
Entertainment,Apps,Social Media,Social networking,Facebook,"find friends, share photos and moments, free messaging, daily status, video calling","Find friends, share photos and moments",Positive,"कमाल की ऐप!मैं आखिरकार अपने सभी स्कूल दोस्तों को ढूंढने में कामयाब रहा, जिनसे मेरा संपर्क पूरी तरह से टूट गया था। और यह कहने की जरूरत नहीं है कि इस पर फोटो अपलोड करना और चुनिंदा लोगों के साथ शेयर करना और अपने दोस्तों को टैग करना बहुत आसान है। 5/5 बिलकुल रेकमेंड करूंगा।"
Pets,Dogs,Grooming,Dematting tool,Healix,"all-in-one tool, 2-in-one dual head, safe,",can't work properly,Negative,इससे कोई बाल नहीं निकलते। ब्रश पिन की लंबाई बहुत छोटी है और कोट के अंदर नहीं जा सकती है।
Health/Wellness,Food,Eats/Beverages,Cafe,Mud Café,"Continental food and beverages, snacks, bakery items, quick service, online payments, ambience, music, parking, wifi, price","Food and beverages, quick service, price",Negative,उनके द्वारा दी जाने वाली मात्रा उनके द्वारा ली जाने वाली कीमतों के हिसाब से सही नहीं है और ऑर्डर सर्व करने में काफी समय लगता है। उनकी खासियत निराशाजनक है और मोजिटो चीनी से भरे हुए हैं।
Hobbies,Photography,Camera accessories,Light box,Hiffin,"portable, wide application, filter harmful lighting, material, lighting",Portable,Positive,छोटे और फोल्डेबल लेंस को एक जगह से दूसरी जगह कैरी किया जा सकता है।
Baby Products,Baby,Clothing,Clothing set (boys and girls),Carters',"cotton/synthetic, one colour/designer, wash care, sleeves/sleeveless","Wash care, cotton, synthetic",Positive,इसको धोना और इसकी केयर करना आसान है। बहुत सारे ब्राइट कलर्स में अवेलेबल है।
Hobbies,Music,Instruments,Keyboards and Piano,Roland BK-4,"dimensions, number of keys, tuning pins, bridge material, pedals, soundboard, sound qualiy","soundboard, sound qualiy",Negative,एडवांस्ड प्लेयर्स के लिए अकुशल है।
Education,Books,Audiobooks,Fully voiced reading,Penguin Random House,"several characters, distinct voice, Pitch, Sound quality, Acting",Several characters,Positive,"ज़बरदस्त रीडिंग! कई किरदारों के बावजूद, मैं इस बुक से लास्ट तक जुड़ा रहा।"
Health/Wellness,Living,Stay/ Experience,Resorts,Ananda Resorts (Shantiniketan),"Swimming pool, fitness center, parking, wifi, bar, laundry service, games, air conditioning, banquet/dining hall, various cuisines, family friendly","Swimming pool, various cuisines",Negative,"स्विमिंग पूल में बच्चों के लिए स्विमिंग एरिया नहीं है, साथ ही पूल का पानी इतना साफ नहीं है। रेस्तरां मेन्यू में भी कुछ सुधार की आवश्यकता है: बंगाली/नॉर्थ इंडियन/इंडो-चाइनीज का संयोजन होने के बावजूद पर्याप्त विकल्पों की कमी के कारण एक भी व्यंजन नहीं चुन सकते हैं।"
Hobbies,Photography,Camera accessories,Tripod,AmazonBasics,"light weight, adjustable height, multi level locking and steady rubberized legs, multipurpose head, cellphone holder, level indicator","multipurpose head, light weight",Positive,3-वे हेड पोर्ट्रेट या लैंडस्केप ऑप्शंस के साथ टिल्ट और स्वाइवल मोशन की अनुमति देता है जिसमें क्विक रिलीज़ प्लेट शामिल है और एल्यूमीनियम अलॉय से बना है।
Transportation,Air,Flights,Domestic,Spice jet,"Cleanliness, hassle-free booking, safety, punctuality, luggage allowance, insurance, zero cancellation fees, affordable rates",Safety Punctuality,Positive,सभी सुरक्षा प्रोटोकॉल का बहुत सख्ती से पालन करें
Pets,Dogs,Grooming,Deodorizers,ODO-RITE,"ayurvedic, scent, fresh, vet recommended",not long- lasting,Negative,इसकी खुशबू भी किसी अन्य रूम फ्रेशनर की तरह कुछ मिनटों के लिए ही रहती है।
Health/Wellness,Personal Care,body,body wash,Aveeno Daily Moisturizing body wash,"natural ingredients, cruelty-free",hydrated and glowing skin,Positive,यह बॉडी वॉश अच्छे से साफ करता है और स्किन को ड्राई नहीं करता है।
Entertainment,Movies,Genres,Biopics,Tanhaji,"inspiring, motivational, real story, natural acting, casting, performance, remarkable, historically acurate",Historically accurate,Negative,हर महाराष्ट्रियन स्वीकार करेगा कि इस फिल्म ने इतिहास को तोड़-मरोड़ कर दिखाया है। बहुत सारी ऐतिहासिक गलतियां।
Home,Appliances,Fan,Table fan,Ibell,"small, compact, mobile, sweep size, air delivery speed, no of blades",Air delivery speed,Positive,"आईबेल व्यक्तिगत इस्तेमाल  के लिए कॉम्पैक्ट टेबल फैन पेश कर रहा है। पॉवरफुल मोटर लगी होने के कारण, इतने छोटे फैन की एयर डिलीवरी बहुत शानदार है।"
Home,Appliances,Home theater,Multimedia players,Cubetek,"bluetooth/dolby/voice control, speaker connectivity, audio output mode, speaker feature",Speaker feature,Positive,क्यूबटेक मल्टीमीडिया प्लेयर अब 6x9 इंच 3-वे कोएक्सियल कार स्पीकर्स के साथ आ रहा है। यह 480 वॉट पीक पॉवर आउटपुट के साथ अमेजिंग साउंड क्वालिटी और इम्पैक्टफुल बेस पर पसंदीदा म्यूजिक के साथ ड्राइविंग के आनंद को फिर से खोजने और अनुभव करने जैसा है।
Food,Grocery,Biscuits and Cookies,cookies,Parle Milano chocolate chip cookies,"fruit and nuts, butter, Cashew, delicious, nutritious, flavors",delicious,Positive,बाजार में सबसे अच्छी चॉकलेट चिप कुकीज में से एक। कुकीज खाते ही चॉकलेट पिघल जाती है।
Health/Wellness,Food,Eats/Beverages,Bakery,Kookie Jar,"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious, variety, service time, fresh, price","Variety, service time, fresh",Negative,"उनकी एगलेस पेस्ट्री का संग्रह बहुत सीमित था, सर्विस में कभी-कभी इतना समय लगता है कि एक गर्म चॉकलेट टेबल पर आते-आते ठंडी हो जाती है। साथ ही, स्नैक्स कभी-कभी बासी हो जाते हैं जिससे शारीरिक परेशानी होती है।"
Transportation,Surface,Railways,Inter-state,,"Sleeper coach, AC, chair car, cleanliness, safety, punctuality, food service, travel insurance, tour packages",Cleanliness Tour packages,Negative,"""नॉन-पिल्ग्रिमेज पैकेज, मुख्य रूप से बहुत अधिक लागत और खास अच्छे प्रवास और भोजन व्यवस्था न होने के कारण कई भारतीय पर्यटकों को आकर्षित नहीं करते हैं। """
Home,Appliances,Air cooler,Personal air cooler,Havells,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",Less Energy,Positive,हैवेल्स के पर्सनल एयर कूलर में छोटी सी आधे एचपी की मोटर लगी है। यह इतने छोटे कूलर के लिए पर्याप्त है और बहुत कम ऊर्जा की खपत करती है।
Home,Appliances,Fan,Pedestal fan,Zentax,"tall, oscillation feature, sweep size, air delivery speed, no of blades",Sweep size,Negative,ज़ेनटैक्स के पेडस्टल फैन्स को छोटी लंबाई के ज़्यादा ब्लेड्स के साथ दिया गया है। कम स्वीप साइज प्रोडक्ट की दक्षता को कम करता है।
Health/Wellness,Food,Eats/Beverages,Cafe,Abar Baithak The Coffee Shop,"Continental food and beverages, snacks, bakery items, quick service, online payments, ambience, music, parking, wifi, price","Ambience, food and beverages, quick service",Positive,"इस जगह का माहौल और वाइब्स बंगाली डिटेक्टिव फेलुदा पर आधारित ओवरऑल थीम के साथ-साथ एक सुंदर बैठने की जगह, बंगाली संगीत और किताबों के एक अच्छे संग्रह के साथ बेजोड़ है। भोजन बहुत स्वादिष्ट है, और चाय का स्वाद अच्छा है, जिसे स्टाफ के विनम्र सदस्यों द्वारा परोसा जाता है।"
Pets,Dogs,Grooming,Deodorizers,Pet Life,"ayurvedic, scent, fresh, vet recommended",not long-lasting,Negative,इसकी स्मेल ज्यादा देर तक नहीं रहती।
Pets,Dogs,Grooming,Grooming clippers,EZLife,"stainless steel, sharpness, rubber coated handles, safety guard, comes with filer",noise,Negative,यह बहुत अधिक शोर करता है।
Health/Wellness,Personal Care,body,lotion/body butters,Pond’s Triple Vitamin Moisturising Lotion,"season/climate, fragrance","season/climate, nourishing",Positive,प्रभावी रूप से सूखी और फटीं त्वचा को नरिश करता है
Home,Appliances,Air-condition,Inverter AC,Godrej,"AI Dual Inverter, AI Convertible 6-in-1 cooling, HD Filter with Anti-Virus Protection, auto clean, capacity, coil material, wifi",HD Filter with Anti-virus Protection,Positive,"गोदरेज एसी एक एचडी फिल्टर प्रदान करता है, जिसमें मेश को कैनेशियन सिल्वर आयनों (एजीएनपी) के साथ कोट किया जाता है जो संपर्क में आने वाले 99% से अधिक वायरस और बैक्टीरिया को निष्क्रिय करता है। यथार्थपूर्ण तरीके से कहे, तो यह आपके कमरे के लिए एक एंटी-वायरस के रूप में काम करता है।"
Home,Appliances,Air cooler,Window air coolers,Havells,"saves floor space, suitable for kid's room/hostel room, cool tank capacity, controller type, Noise Levels, Design, Takes more space",Controller type,Positive,हैवेल्स ने भी अब अपने विंडो एयर कूलर में ह्यूमिडिटी कंट्रोलर पेश किया है। यह बाहरी मौसम के अनुसार हवा की ह्यूमिडिटी को नियंत्रित करता है।
Home,Appliances,Air-condition,Split AC,Croma,"PM 2.5 filter, dust filter, air purification filter, capacity, coil material, wifi",Coil Material,Negative,"एसी अब कॉपर अलॉय कॉयल के साथ आ रहा है। हालांकि यह एल्यूमीनियम कॉइल की तुलना में अधिक कुशल है, जिसकी वजह से इसकी लागत बहुत अधिक है।"
Health/Wellness,Personal Care,body,lotion/body butters,HIMALAYA Nourishing Body Lotion,"season/climate, fragrance","skin types, hydra-nutri balance. glowing skin",Positive,इम्प्रेसिव हाइड्रा-न्यूट्री बैलेंस से समृद्ध और आपकी त्वचा को एक ग्लोइंग इफ़ेक्ट देता है
Vehicles,Automotives,Bikes,Commuter,Bajaj,"popular, young generation, fuel efficiency,","Reliability, evolution in services, indigenous technological upgradation, symbolic of India's prowess in the automobile industry, low mileage, high price and maintenance costs",Negative,"बजाज पल्सर मॉडल दिखने में बहुत स्टाइलिश होने के बावजूद उनकी माइलेज, उच्च कीमत और रखरखाव लागत कम थी।"
Entertainment,Amusement,Parks,For children,Vithoba Balaji Murkute Park ,"entry price, rides and attractions, developmental activities,Play area,maintenance",maintenance,Negative,टॉयलेट्स बहुत ही गंदे हैं और पीने के साफ़ पानी की कोई सुविधा नहीं है।
