GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Hobbies,Photography,Camera accessories,Light box,Osaka,"portable, wide application, filter harmful lighting, material, lighting",Portable,Positive,हूक आणि लूप डिझाईन सहज सेटअप करता येते आणि नेता येते.
Building Material,Construction,Binding material,Cement,Super Sulphated Portland Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Resistance to wet,Positive,OPC च्या तुलनेत SSPC च्या सहाय्याने बनवलेल्या काँक्रीटचा जल प्रतिरोध जास्त असतो.
Hobbies,Photography,Camera accessories,Flash accessories,Hiffin HF,"diffuser, modifier, battery, material",Diffuser,Negative,समस्या असेंब्लीमध्ये आहे आणि कापडी हूड पुरेसे नाही आणि हलक्या दर्जाचे आहे.
Education,Books,Audiobooks,Duet narration,Spotify,"voice, acting, modulation, pitch, sound quality, SYNCHRONIZATION, Synchronization(offline availibility)",Acting,Negative,स्पॉटीफायवरच्या गोष्टींमध्ये पात्रांच्या वर्तनातील बदल सहजपणे होत नाही. निवेदन प्रवाही होण्यासाठी पात्रांच्या अभिनय कौशल्यावर खरेच काम करण्याची गरज आहे.
Entertainment,Apps,Entertainment,Podcasts,Google Podcasts,"free-trial, offline access, recommendation based on interests, popular and trending shows in comedy, news, sports and more",Recommendations based on interests,Negative,शिफारसी हे वैशिष्ट्य इतके वाईट आहे की त्यांना माझ्या आवडीनिवडी कुठून कळतात हेच मला समजत नाही. घोडचूक आहे ही!
Entertainment,Amusement,Parks,For children,ISKCON NVCC Kids Play Area,"entry price, rides and attractions, developmental activities,Play area,maintenance",Play Area,Negative,ही एक अतिशय गजबजलेली जागा आहे!
Pets,Dogs,Supplies,Dog apparels,KUTKUT,"dress/shirt, soft breathable material, half sleeves/sleeveless, pet comfortable raincoat with detachable hood",deformed,Negative,धुतल्यावर याचा आकार बदलतो.
Entertainment,Movies,Genres,Documentary,Michael Jackson's This Is It,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy",Factual accuracy,Negative,MJ च्या आयुष्यातील सर्वांना माहीत असलेल्या घटना अशाप्रकारे बदलल्या आहेत की आता MJ च्या संगीतावर प्रेम करणाऱ्यांच्या त्या लक्षात येतील.
Pets,Dogs,Supplies,Collars,Foodie Puppies,"leather/nylon, half chain half choker, design, waterproof, adjustable, metal buckle","Material, Buckle",Positive,"ती आरामदायी आहे आणि तिचे मटेरियल उच्च दर्जाचे, मजबूत आणि घालण्यायोग्य आहे. अनावश्यक घट्टपणा आणि खाज किंवा रॅश रोखणार्‍या या डॉग कॉलर्स कुत्र्यांच्या पिल्लांच्या त्वचेसाठी एकदम योग्य आहेत. सहजपणे घालता आणि काढता येणारे बकल."
Health/Wellness,Food,Eats/Beverages,Bakery,Mrs Magpie (Keyatala),"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious, variety, service time, fresh, price","Tasty cakes, pastry, delicious",Positive,केक्स आणि पेस्ट्रीज स्वादिष्ट आणि ताज्या असतात. उत्तम स्वाद आणि पोत असलेल्या खाद्यपदार्थांचे वैविध्य
Entertainment,Movies,Genres,Fantasy,Mowgli: Legend of the Jungle,"CGI and visual effects, screenplay adaptation, whimsical score, enchanting characters, magical,",Screenplay adaptations,Negative,"भीतीदायक, निराशाजनक रूपांतर आणि हरणाला मारल्यावर त्याच्या डोळ्यातून प्राण जाताना पाहणे. हा मुलांसाठी नाही, तुम्हाला तुमच्या मुलांना निराश करायचे नसेल तर."
Health/Wellness,Living,Stay/ Experience,Homestay,Vikkyz Homestay (Darjeeling),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Friendly hosts, calm and serene, location, wifi",Positive,"इथले होस्ट अतिशय मनमिळाऊ आणि मदतीस तत्पर आहेत, ही जागा दार्जिलिंगच्या मुख्य बाजारापासून थोडी दूर आहे आणि त्यामुळे शांत आणि प्रसन्न आहे. याचे लोकेशन पण चांगले आहे, घूम स्टेशनपासून चालत फक्त 5-मिनिटे आणि इथली वाय-फाय कनेक्टीव्हिटी पण चांगली चालते."
Education,Books,Audiobooks,Full cast narration,BBC Sounds,"voice, acting, modulation, pitch, sound quality, cinematic feeling",cinematic feeling,Positive,कोणत्याही अॅप्लिकेशनवर आत्तापर्यंत ऐकलेली सर्वोत्तम ऑडीओ पुस्तके. आत्तापर्यंत मी ऐकलेली प्रत्येक कादंबरी आकर्षक होती आणि ऐकताना सुंदर चित्रपट पाहिल्याची भावना निर्माण झाली.
Entertainment,Movies,Genres,Fantasy,Jumanji: Welcome to the Jungle,"CGI and visual effects, screenplay adaptation, whimsical score, enchanting characters, magical,","Magical, CGI and Visual Effects",Positive,किती जादुई आणि उत्साहित करणारी कलाकृती. CGI आणि स्पेशल इफेक्ट्सद्वारे अतिशय रम्य दृश्ये आणि सुंदर वातावरण.
Entertainment,Movies,Genres,Documentary,1232 KMS,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy","emotional, detailed narration, factual accuracy",Positive,"लॉकडाऊनच्या कमी माहीत असलेल्या बाजूचे सर्वांत योग्य, तपशिलवार चित्रण.   मजुरांचा भावनिकदृष्ट्या थकवणारा प्रवास."
Education,Books,Children's book,Comics,Tinkle,"pictures, cartoon characters, Comic strips, Short stories, colourful, fables, fairy tales, puzzles","Short stories, colourful",Positive,"छोट्या गोष्टी वाचल्याने त्यांना वाचायची आवड निर्माण होते, इंग्रजी भाषेवरील प्रभुत्व वाढायला मदत होते. हे पुस्तक अतिशय रंगीबेरंगी आणि आकर्षक आहे"
Home,Appliances,Air cooler,Tower air cooler,Cello,"sleek and elegant, height, cool tank capacity, controller type, looks, blower",Controller Type,Negative,"सेलो त्यांच्या टॉवर एअर कूलर्सच्या नवीन मॉडेल्समध्ये आर्द्रता नियंत्रक देत आहे. पण नियंत्रकाचा दर्जा खूप वाईट आहे, कारण तो नेहमी त्याच प्रकारची थंड हवा सोडतो."
Building Material,Construction,Binding material,Cement,Rapid Hardening Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Strength,Positive,RHC ची 1 दिवसांची ताकद OPC च्या 3 दिवसांच्या ताकदीएवढी आहे आणि RHC ची 3 दिवसांची ताकद OPC च्या 7 दिवसांच्या ताकदीएवढी आहे.
Hobbies,Cycling,Bicycles,mountain bikes,GT,"suspension, gears, warranty, ergofit, frame, mudguards, cost, lightwieght, parts availibility",lightwieght,Negative,"स्टॉक कंपोनन्ट्स सर्वोत्तम नाहीत, तसेच थोडे जड आहेत."
Entertainment,Movies,Genres,Action,Morbius,"action-packed, dangerous stunts, adventure, exciting, realistic fighting scenes, energetic performance","Action-Packed, adventure, exciting",Positive,"अविश्वसनीय ॲक्शन, रोमांचक व्हिज्युअल्स आणि ॲडव्हेंचरसह फोर्झा फ्रँचायझीमधील खरोखरच सर्वोत्तम. 308 नेग्रा अ‍ॅरोयो लेन येथे राहणारा वॉल्टर व्हाईट कोकेनर शिजवून आणि स्टेज 4 टर्मिनल कॅन्सर असताना कसा विचार करतो हे अमोरबस तुम्हाला खरोखर दर्शवतो."
Food,Grocery,Biscuits and Cookies,salted biscuits,Parle Monaco salted biscuits,"crispy, light snack, sweet and salt, easy to digest, no artificial colour","Crispy, no artificial colour, quantity, light snack",Positive,मोनॅको बिस्किट्स खूपच कुरकुरीत आहेत. बिस्किटांची किंमत परवडणारी असून त्या किमतीत मिळणारी बिस्किटांची संख्या पण चांगली आहे.
Pets,Dogs,Supplies,Dog carriers,MidWest Homes for Pets,"hard sided/soft sided, two door top load, portable folding, airlines approved, breathable mesh panel",sharp edges,Negative,"दाराच्या बाजूला वायर्सच्या टोकांना खूप धारदार कडा आहेत, ज्यामुळे पाळीव प्राण्यांना इजा होऊ शकते."
SPORTS/GAMES,Equipment,badminton,shuttlecock,Yonex Mavis 350 Nylon Shuttlecock,"durable, feather/plastic skirt,user comfort at impact, control, foam tip/cork, price",durable,Positive,तुम्ही चांगले खेळत असाल आणि खूप स्मॅशिंग करत नसाल  तर हे साधारण 10 गेम्सपर्यंत न तुटता टिकेल. जर तुमचे नशीब चांगले असेल तर तुम्हाला केवळ एक शटल वापरून साधारण ३ तास खेळता येईल आणि जे तुम्हाला थोडीशी झीज चालणार असेल तर 5 ताससुद्धा चालेल.
Education,Books,Audiobooks,Full cast narration,Audible,"voice, acting, modulation, pitch, sound quality, cinematic feeling",Voice,Positive,क्लासिक पॉईरॉट!! पॉईरॉटच्या सर्वांत चांगल्या केसेस या पेक्षा चांगल्या आवाजात येऊ शकल्या नसत्या आणि या आवाजाने या कथा अगदी सहजपणे जिवंत केल्या आहेत.
Education,Books,Children's book,Painting,Figure Drawing for Kids: A Step-By-Step Guide to Drawing People (Drawing for Kids Ages 9 to 12),"figure drwaing, colouring book, adorable designs, bold thick outlines, Cost/Price, Quality",Figure drawing,Positive,"अँजला रिझ्झा एक अतिशय प्रतिभावान कलाकार आहे जिने या उत्कृष्ट व्यक्तीचित्र रेखाटनाच्या पुस्तकाद्वारे आपले कलेचे प्रेम इतरांबरोबर शेअर केले आहे. फक्त मुलांसाठी नाही तर सर्व वयोगटातील कलाकारांसाठी असलेल्या धड्यांसह, सरावासाठी असलेला स्वाध्याय आव्हानात्मक आणि मजेदार आहे."
Home,Appliances,Air cooler,Personal air cooler,Hindware,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",Cool Tank Capacity,Negative,"एअर कूलरची टाकी खूप लहान आहे आणि त्यात कसेबसे 10 लिटर पाणी मावते. मला जवळजवळ रोज टाकी भरावी लागते, हे वैतागवाणे आहे."
Travel,Bags and luggage,Bags,Handbags,Zara,"leather/foam, everyday use/occassion, washable, no of pockets","Good quality, long lasting and value for money.",Positive,झाराची हँडबॅग तिचा दर्जा आणि टिकाऊपणासाठी प्रसिध्द आहे. याचे लेदर मऊ आणि मजबूत आहे. यामध्ये चांगल्या दर्जाच्या झिप असलेले अनेक कप्पे आहेत.
Entertainment,Apps,Entertainment,Podcasts,Aawaz Podcasts & Audio Stories,"free-trial, offline access, recommendation based on interests, popular and trending shows in comedy, news, sports and more",Offline Access,Positive,"आवाज हे डाऊनलोड करण्यासाठी आणि ऐकण्यासाठी विनामूल्य आहे. यात जाहिराती किंवा व्यत्यय नाही, तुम्ही अमर्यादित एपिसोड डाऊनलोड करू शकता आणि ऑफलाइन ऐकू शकता."
Hobbies,Cycling,Bicycles,mountain bikes,Evil,"suspension, gears, warranty, ergofit, frame, mudguards, cost, lightwieght, parts availibility",Frame,Negative,"निवडण्यासाठी बाइक्सचे कमी पर्याय उपलब्ध, फक्त कार्बनच्या फ्रेम्स"
Transportation,Surface,Roadways,Taxi,Uber,"Affordable rates, experienced drivers, safety, cleanliness, insurance, emergency alert, local rides/ out-station bookings, online booking, digital wallets, pre/postpaid",Experienced drivers Affordable rates,Negative,"""मागणी वाढली की दर खूप जास्त वाढतात. गर्दीच्या वेळी, विशेषत: विमानतळावर किंवा रेल्वे स्टेशनवर, तुम्हाला नेहमीच्या भाड्याच्या तीन ते चार पट भाडे द्यावे लागते.”"
Entertainment,Movies,Genres,Documentary,Sachin: A Billion Dreams,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy","awe-inspiring, heart-touching",Positive,खेळातील एका महानायकाची किंवा गॉड ऑफ क्रिकेटची प्रेरणादायक आणि मनाला भावणारी कथा.
Baby Products,Baby,Clothing,Winterwear (boys and girls),Monte Carlo,"cotton/wool, soft fabric, wash care","wool, wash care",Positive,मी दोन स्वेटर्स ऑर्डर केले आणि ते चांगल्या दर्जाच्या लोकरीपासून बनवलेले आहेत. कापड नैसर्गिक वाटते आणि इतर लोकांनी तसे म्हटले असले तरीही अजिबात टोचत नाही.
Home,Appliances,Air-condition,Split AC,Godrej,"PM 2.5 filter, dust filter, air purification filter, capacity, coil material, wifi",Capacity,Negative,याची किमान क्षमता 1.5 टन आहे जी कोणत्याही मध्यम वर्गीय घरातील एखाद्या जागेच्या साधारण 100 चौ. फू. क्षेत्रफळ असलेल्या छोट्या खोलीसाठी खूपच जास्त आहे. माझा खिसा रिकामा करा!!!
Transportation,Air,Flights,International,Emirates,"luggage allowance, affordable rates, luxury, food, travel insurance, safety, customer service",Rates Luggage allowance,Negative,“जर सामान मर्यादेपेक्षा जास्त असेल तर लगेचच खूप जास्त शुल्क आकारले जाते.”
Pets,Dogs,Health supplements:,Vitamins,Wowdog,"healthy and lustrous coat, skin, calcium, paw tablet, digestive tablet, liver tonic, dewarming, antioxidants",huge size,Negative,गोळ्यांचा आकार खूप मोठा आहे.
Pets,Dogs,Grooming,Shampoo,Meat Up,"normal/dry, liquid/spray, scent, natural ingredients, tick and flea repellent",Hair. skin issues,Negative,कुत्र्याच्या केसांचे पुंजके गळायला लागले आणि यामुळे रॅश उठला.
Hobbies,Photography,Camera accessories,Flash accessories,Shopee Mini,"diffuser, modifier, battery, material",Diffuser,Positive,"कोणत्याही ऑन-कॅमेरा फ्लॅशसाठी सुयोग्य आहे, पोर्ट्रेट्ससाठी चांगला आहे."
Health/Wellness,Food,Eats/Beverages,Bakery,Nahoum's (Nahoum and Sons Private Limited Confectioners),"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious,variety, service time, fresh, price","Tasty cakes, pastry, signature foods, delicious, variety",Positive,"120 वर्षे जुनी ज्युईश बेकरी तिच्या प्रचंड प्रसिद्धीला साजेशी आहे. त्यांची प्रमुख डीश असलेला, लेमन पफ आणि रिच प्लम केक आणि चॉकलेट एक्लेअर, चिकन पॅटीस, मफिन्स आणि रम बॉल्स हे इतर पदार्थसुद्धा अतिशय चविष्ट आहेत;"
Home,Appliances,Fan,Exhaust fan,Anchor cool air,"remove moisture/unpleasant odour, air delivery speed, rust proof body and blade, front shutter, Blade strength",Blade strength,Positive,अँकरच्या एक्झॉस्ट पंख्यात दिलेल्या पात्यांची ताकद खूपच चांगली आहे. मी हा पंख अनेक वर्षे वापरत आहे आणि तो त्याच कार्यक्षमतेने चालत आहे.
Home,Appliances,Air-condition,Inverter AC,Croma,"AI Dual Inverter, AI Convertible 6-in-1 cooling, HD Filter with Anti-Virus Protection, auto clean, capacity, coil material, wifi",AI Dual Inverter,Negative,"क्रोमा एसीचे एआय मोड, ज्याला ऑटो ऑपरेशन मोडदेखील म्हणतात, खोलीच्या तापमानानुसार आपोआप फॅनची गती आणि तापमान सेट करते. हे आर्टिफिशियल इंटेलिजन्सवर आधारित असल्यामुळे याचे परिणाम आपल्यासाठी फारसे सोयीचे नाहीत."
SPORTS/GAMES,Equipment,badminton,rackets,Silver Sports,"carbon frame, flexible shaft, even balance, hitting power, light-weight, durable, robust, grip, price",Carbon frame,Negative,सिल्व्हर स्पोर्ट्स रॅकेट्सची सर्वांत वाईट गोष्ट म्हणजे कार्बन फ्रेमचा अभाव.
Entertainment,Apps,Social Media,Social networking,Facebook,"find friends, share photos and moments, free messaging, daily status, video calling","Find friends, share photos and moments",Positive,अप्रतिम ॲप! अखेरीस मी माझ्या शाळेतील सर्व मित्रांना शोधू शकलो ज्यांच्याशी माझा संपर्क पूर्णपणे तुटला होता. आणि हे सांगण्याची गरज नाही की फोटो अपलोड करणे आणि ते निवडक लोकांसह शेअर करणे आणि माझ्या मित्रांना सहजपणे टॅग करणे खूप सोपे आहे. 5/5 नक्कीच शिफारस करेन.
Pets,Dogs,Grooming,Dematting tool,Healix,"all-in-one tool, 2-in-one dual head, safe,",can't work properly,Negative,हे क्वचितच केस काढते. ब्रशच्या पिन्सची लांबी खूप लहान असून तो कोटच्या आत जाऊ शकत नाही.
Health/Wellness,Food,Eats/Beverages,Cafe,Mud Café,"Continental food and beverages, snacks, bakery items, quick service, online payments, ambience, music, parking, wifi, price","Food and beverages, quick service, price",Negative,ते देत असलेल्या पदार्थांचे प्रमाण ते आकारत असलेल्या किमतीनुसार नाही आणि ऑर्डर सर्व्ह व्हायला फारच वेळ लागतो. त्यांची विशेषता असलेला पदार्थ निराशाजनक आहे आणि मोहितोमध्ये फारच साखर आहे.
Hobbies,Photography,Camera accessories,Light box,Hiffin,"portable, wide application, filter harmful lighting, material, lighting",Portable,Positive,"लहान आणि घडी करता येण्याजोगा, एका ठिकाणाहून दुसऱ्या ठिकाणी नेता येतो."
Baby Products,Baby,Clothing,Clothing set (boys and girls),Carters',"cotton/synthetic, one colour/designer, wash care, sleeves/sleeveless","Wash care, cotton, synthetic",Positive,धुवायला आणि काळजी घ्यायला अतिशय सोपे. गडद रंगांमधून निवडीला वाव.
Hobbies,Music,Instruments,Keyboards and Piano,Roland BK-4,"dimensions, number of keys, tuning pins, bridge material, pedals, soundboard, sound qualiy","soundboard, sound qualiy",Negative,प्रगत वादकांसाठी अकार्यक्षम.
Education,Books,Audiobooks,Fully voiced reading,Penguin Random House,"several characters, distinct voice, Pitch, Sound quality, Acting",Several characters,Positive,"उत्तम वाचन! अनेक पात्रे असूनसुद्धा, संपूर्ण पुस्तकाच्या दरम्यान माझा कनेक्ट तुटला नाही."
Health/Wellness,Living,Stay/ Experience,Resorts,Ananda Resorts (Shantiniketan),"Swimming pool, fitness center, parking, wifi, bar, laundry service, games, air conditioning, banquet/dining hall, various cuisines, family friendly","Swimming pool, various cuisines",Negative,स्विमिंग पूलचे पाणी फार स्वच्छ नसून त्यात मुलांसाठी वेगळा स्विमिंग एरिया नाही. रेस्टॉरंटचा मेनूदेखील थोडा सुधारण्याची गरज आहे: येथे बंगाली/उत्तर भारतीय/इंडो-चायनीज अशा वेगवेगळ्या प्रकारचे कुझीन उपलब्ध असले तरी यात पुरेसे पर्याय उपलब्ध नसल्याने कोणतेही एक कुझीन निवडता येत नाही.
Hobbies,Photography,Camera accessories,Tripod,AmazonBasics,"light weight, adjustable height, multi level locking and steady rubberized legs, multipurpose head, cellphone holder, level indicator","multipurpose head, light weight",Positive,"3-वे हेड टील्ट आणि स्विव्हेल मोशन करू देते, यात पोर्ट्रेट आणि लँडस्केपचे पर्याय आहेत तसेच क्विक रिलीज प्लेट आहे आणि हा अॅल्युमिनियम संयुगापासून बनवलेला आहे."
Transportation,Air,Flights,Domestic,Spice jet,"Cleanliness, hassle-free booking, safety, punctuality, luggage allowance, insurance, zero cancellation fees, affordable rates",Safety Punctuality,Positive,सुरक्षेचे सर्व प्रोटोकॉल्स अतिशय काटेकोरपणे पाळले जातात.
Pets,Dogs,Grooming,Deodorizers,ODO-RITE,"ayurvedic, scent, fresh, vet recommended",not long- lasting,Negative,इतर कोणत्याही रूम फ्रेशनरप्रमाणेच याचा वास फक्त काही मिनिटांसाठी राहतो.
Health/Wellness,Personal Care,body,body wash,Aveeno Daily Moisturizing body wash,"natural ingredients, cruelty-free",hydrated and glowing skin,Positive,बॉडी वॉश चांगल्या प्रकारे स्वच्छता करतो आणि त्वचा कोरडी करत नाही.
Entertainment,Movies,Genres,Biopics,Tanhaji,"inspiring, motivational, real story, natural acting, casting, performance, remarkable, historically acurate",Historically accurate,Negative,प्रत्येक महाराष्ट्रीय व्यक्ती हे मान्य करेल की या चित्रपटात इतिहासाचे विकृतीकरण केले आहे. खूपच जास्त ऐतिहासिक विसंगती.
Home,Appliances,Fan,Table fan,Ibell,"small, compact, mobile, sweep size, air delivery speed, no of blades",Air delivery speed,Positive,आयबेल वैयक्तिक वापरासाठी छोटे टेबल फॅन्स देत आहे. ताकदवान मोटर जोडलेली असल्यामुळे इतक्या लहान पंख्यातून वारा चांगला येतो.
Home,Appliances,Home theater,Multimedia players,Cubetek,"bluetooth/dolby/voice control, speaker connectivity, audio output mode, speaker feature",Speaker feature,Positive,क्यूबटेक मल्टिमिडिया प्लेअर आता 6x9 इंच 3-वे कोॲक्सियल कार स्पीकर्ससह उपलब्ध आहे. हे म्हणजे आवडते संगीत ऐकत ड्रायव्हिंगचा पुन्हा आनंद घेत 480W पीक पॉवर आऊटपुटसह अप्रतिम साऊंड क्वालिटी आणि परिणामकारक बासचा अनुभव घेण्यासारखे आहे.
Food,Grocery,Biscuits and Cookies,cookies,Parle Milano chocolate chip cookies,"fruit and nuts, butter, Cashew, delicious, nutritious, flavors",delicious,Positive,बाजारातील सर्वोत्कृष्ट चॉकलेट चिप कुकीजपैकी एक. कुकीज खाताना चॉकलेट तोंडात विरघळते.
Health/Wellness,Food,Eats/Beverages,Bakery,Kookie Jar,"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious, variety, service time, fresh, price","Variety, service time, fresh",Negative,"त्यांचे अंडी विरहीत पेस्ट्री कलेक्शन खूपच मर्यादित होते आणि कधीकधी सर्व्हिसला इतका वेळ लागतो की हॉट चॉकलेट टेबलावर येईपर्यंत गार होऊन जाते. तसेच, स्नॅक्स कधीकधी शिळे असतात त्यामुळे शारीरिक त्रास होतो."
Transportation,Surface,Railways,Inter-state,,"Sleeper coach, AC, chair car, cleanliness, safety, punctuality, food service, travel insurance, tour packages",Cleanliness Tour packages,Negative,“तीर्थयात्रा नसलेली पॅकेजेस अनेक भारतीय पर्यटकांना आकर्षित करत नाहीत कारण दर खूप जास्त आहे आणि राहण्याची सोय आणि जेवणाची व्यवस्था तितकीशी चांगली नाही.”
Home,Appliances,Air cooler,Personal air cooler,Havells,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",Less Energy,Positive,हॅवेल्सच्या वैयक्तिक एअर कूलरमध्ये एक छोटी अर्ध्या एचपीची मोटर आहे. ती इतक्या लहान कूलरसाठी पुरेशी आहे आणि खूप कमी वीज वापरते.
Home,Appliances,Fan,Pedestal fan,Zentax,"tall, oscillation feature, sweep size, air delivery speed, no of blades",Sweep size,Negative,झेन्टॅक्सच्या पेडेस्टल पंख्यांना कमी लांबीची अजून पाती दिलेली आहेत. स्वीपच्या कमी आकारामुळे उत्पादनाची कार्यक्षमता कमी होते.
Health/Wellness,Food,Eats/Beverages,Cafe,Abar Baithak The Coffee Shop,"Continental food and beverages, snacks, bakery items, quick service, online payments, ambience, music, parking, wifi, price","Ambience, food and beverages, quick service",Positive,"बंगाली गुप्तहेर, फेलुदाच्या थीमवर आधारित असलेल्या या जागेचे वातावरण आणि उत्साह यांची कशाशीही तुलना होऊ शकत नाही, त्याशिवाय इथे सुंदर सिटींग एरीया, बंगाली संगीताचे आणि पुस्तकांचे चांगले कलेक्शन आहे. खाद्यपदार्थ अतिशय स्वादिष्ट आहेत, चहाचा स्वाद छान आहे आणि तो विनम्र कर्मचाऱ्यांद्वारे सर्व्ह केला जातो."
Pets,Dogs,Grooming,Deodorizers,Pet Life,"ayurvedic, scent, fresh, vet recommended",not long-lasting,Negative,याचा वास फार काळ टिकत नाही.
Pets,Dogs,Grooming,Grooming clippers,EZLife,"stainless steel, sharpness, rubber coated handles, safety guard, comes with filer",noise,Negative,ते खूप जास्त आवाज करते.
Health/Wellness,Personal Care,body,lotion/body butters,Pond’s Triple Vitamin Moisturising Lotion,"season/climate, fragrance","season/climate, nourishing",Positive,कोरडी आणि फुटलेल्या त्वचेला परिणामकारकरित्या पोषण देते
Home,Appliances,Air-condition,Inverter AC,Godrej,"AI Dual Inverter, AI Convertible 6-in-1 cooling, HD Filter with Anti-Virus Protection, auto clean, capacity, coil material, wifi",HD Filter with Anti-virus Protection,Positive,"गोदरेज एसीमध्ये एचडी फिल्टर आहे ज्याची जाळी कॅटियॉनिक सिल्व्हर इयॉन्सने (AgNPs) आच्छादित आहे जे संपर्कात आलेल्या 99% टक्के विषाणूंना आणि जिवाणूंना निष्क्रिय करतात. नेमके सांगायचे झाल्यास, ते तुमच्या खोलीसाठी अँटी-व्हायरसचे काम करते."
Home,Appliances,Air cooler,Window air coolers,Havells,"saves floor space, suitable for kid's room/hostel room, cool tank capacity, controller type, Noise Levels, Design, Takes more space",Controller type,Positive,हॅवेल्सने आता त्यांच्या विंडो एअर कूलरला आर्द्रता नियंत्रक बसवला आहे. हा बाह्य हवामानानुसार हवेची आर्द्रता नियंत्रित करतो.
