GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Entertainment,Apps,Entertainment,Podcasts,Aawaz Podcasts & Audio Stories,"free-trial, offline access, recommendation based on interests, popular and trending shows in comedy, news, sports and more",Offline Access,Positive,"বিনামূল্যে অডিও ডাউনলোড করুন এবং শুনুন। এটিতে বিজ্ঞাপনের মতো কোনও বাধা নেই, আপনি সীমাহীন পর্বগুলি ডাউনলোড করতে এবং অফলাইনে শুনতে পারেন!"
Hobbies,Cycling,Bicycles,mountain bikes,Evil,"suspension, gears, warranty, ergofit, frame, mudguards, cost, lightwieght, parts availibility",Frame,Negative,"বেছে নেওয়ার জন্য বাইকের ছোট লাইন আপ, যা শুধুমাত্র কার্বন ফ্রেমের।"
Transportation,Surface,Roadways,Taxi,Uber,"Affordable rates, experienced drivers, safety, cleanliness, insurance, emergency alert, local rides/ out-station bookings, online booking, digital wallets, pre/postpaid",Experienced drivers Affordable rates,Negative,'চাহিদার সঙ্গে পাল্লা দিয়ে বাড়ছে দামও। বিশেষ করে বিমানবন্দর বা রেলস্টেশনে ব্যস্ত সময়ে আপনি স্বাভাবিক ভাড়ার তিন-চার গুণ ভাড়া দিয়ে শেষ করেন। ''
Entertainment,Movies,Genres,Documentary,Sachin: A Billion Dreams,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy","awe-inspiring, heart-touching",Positive,খেলার কিংবদন্তির একটি অনুপ্রেরণামূলক এবং হৃদয় ছোঁয়া গল্প বা আপনি ক্রিকেটের ঈশ্বরের গল্প বলতে পারেন।
Baby Products,Baby,Clothing,Winterwear (boys and girls),Monte Carlo,"cotton/wool, soft fabric, wash care","wool, wash care",Positive,আমি দুটি সোয়েটার অর্ডার করেছি এবং সেগুলি সত্যিই ভাল মানের উল দিয়ে তৈরী। ফ্যাব্রিকটি প্রাকৃতিক এবং অন্যান্য লোকেরা যেমন পর্যালোচনা করেছেন মোটেই সেরকম স্ক্র্যাচি নয়।
Home,Appliances,Air-condition,Split AC,Godrej,"PM 2.5 filter, dust filter, air purification filter, capacity, coil material, wifi",Capacity,Negative,"এর ধারণক্ষমতা ন্যূনতম 1.5 টন, যা 100 বর্গফুটের একটি ছোট ঘরের জন্য খুব বেশি। ফুটযা সাধারণত যেকোনো মধ্যবিত্ত বাড়ির স্থানের ক্ষেত্রফল। আমার সমস্ত টাকা নাও!!!"
Transportation,Air,Flights,International,Emirates,"luggage allowance, affordable rates, luxury, food, travel insurance, safety, customer service",Rates Luggage allowance,Negative,"""যদি লাগেজটি সীমা অতিক্রম করে, তবে এটি অবিলম্বে বেশি টাকা চার্জ করা হয়।"""
Pets,Dogs,Health supplements:,Vitamins,Wowdog,"healthy and lustrous coat, skin, calcium, paw tablet, digestive tablet, liver tonic, dewarming, antioxidants",huge size,Negative,ট্যাবলেটের আকার অনেক বড়।
Pets,Dogs,Grooming,Shampoo,Meat Up,"normal/dry, liquid/spray, scent, natural ingredients, tick and flea repellent",Hair. skin issues,Negative,কুকুরটি গুচ্ছ গুচ্ছ চুল হারাতে শুরু করে এবং এটি র্যাশ সৃষ্টি করে।
Hobbies,Photography,Camera accessories,Flash accessories,Shopee Mini,"diffuser, modifier, battery, material",Diffuser,Positive,"যেকোনও অন ক্যামেরা ফ্ল্যাশের জন্য উপযুক্ত, এটি পোর্ট্রেটের জন্য দারুণ কাজ করে।"
Health/Wellness,Food,Eats/Beverages,Bakery,Nahoum's (Nahoum and Sons Private Limited Confectioners),"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious,variety, service time, fresh, price","Tasty cakes, pastry, signature foods, delicious, variety",Positive,"120 বছরের পুরনো ইহুদি বেকারি তার কিম্বদন্তি খ্যাতি ধরে রেখেছে। লেমন পাফ এবং সমৃদ্ধ প্লাম কেকের সিগনেচার ডিশ এবং অন্যান্য জিনিস যেমন চকলেট এক্লেয়ার, চিকেন প্যাটি, মাফিন এবং রাম বলগুলি অসাধারণ সুস্বাদু;"
Home,Appliances,Fan,Exhaust fan,Anchor cool air,"remove moisture/unpleasant odour, air delivery speed, rust proof body and blade, front shutter, Blade strength",Blade strength,Positive,অ্যাঙ্করের এক্সজস্ট ফ্যানে প্রদত্ত ব্লেডের শক্তি খুব ভাল। আমি বছরের পর বছর ধরে ফ্যান ব্যবহার করছি এবং এটি একই স্তরে পারফর্ম করে।
Home,Appliances,Air-condition,Inverter AC,Croma,"AI Dual Inverter, AI Convertible 6-in-1 cooling, HD Filter with Anti-Virus Protection, auto clean, capacity, coil material, wifi",AI Dual Inverter,Negative,"ক্রোমা এসির এআই মোড, যা অটো অপারেশন মোড নামেও পরিচিত, স্বয়ংক্রিয়ভাবে ফ্যানের গতি এবং তাপমাত্রা নির্ধারণ করে, যা ঘরের তাপমাত্রার উপর নির্ভর করে। যেহেতু এটি কৃত্রিম বুদ্ধিমত্তার উপর কাজ করে তাই ফলাফল খুব একটা সুবিধাজনক নয়।"
SPORTS/GAMES,Equipment,badminton,rackets,Silver Sports,"carbon frame, flexible shaft, even balance, hitting power, light-weight, durable, robust, grip, price",Carbon frame,Negative,সিলভার স্পোর্টস র্যাকেটের সবচেয়ে খারাপ বিষয় হল কার্বন ফ্রেমের অভাব।
Entertainment,Apps,Social Media,Social networking,Facebook,"find friends, share photos and moments, free messaging, daily status, video calling","Find friends, share photos and moments",Positive,"অসাধারণ অ্যাপ! শেষ পর্যন্ত আমি আমার স্কুলের সব বন্ধুদের খুঁজে বের করতে পেরেছিলাম, যাদের সঙ্গে আমার যোগাযোগ পুরোপুরি বিচ্ছিন্ন হয়ে গিয়েছিল। এবং বলা বাহুল্য যে ছবি আপলোড করা এবং নির্বাচিত ব্যক্তিদের সাথে শেয়ার করা এবং আমার বন্ধুদের নির্বিঘ্নে ট্যাগ করা খুব সহজ। 5/5 অবশ্যই সুপারিশ করবো।"
Pets,Dogs,Grooming,Dematting tool,Healix,"all-in-one tool, 2-in-one dual head, safe,",can't work properly,Negative,এটা চুলের গোড়ায় খুব একটা লাগায় না। ব্রাশের পিনগুলো দৈর্ঘ্যে খুবই ছোট এবং কোটের ভেতরে যেতে পারে না।
Health/Wellness,Food,Eats/Beverages,Cafe,Mud Café,"Continental food and beverages, snacks, bakery items, quick service, online payments, ambience, music, parking, wifi, price","Food and beverages, quick service, price",Negative,তারা যে পরিমাণ অফার করে তা তাদের চার্জ করা দামের সাথে সমান নয় এবং অর্ডারটি পরিবেশন করতে অনেক সময় লাগে। তাদের বিশেষত্ব হতাশাজনক এবং মজিটোগুলো চিনিতে ভরা।
Hobbies,Photography,Camera accessories,Light box,Hiffin,"portable, wide application, filter harmful lighting, material, lighting",Portable,Positive,"ছোট এবং ফোল্ড করা যায়, এটিকে এক জায়গা থেকে অন্য জায়গায় নিয়ে যাওয়া যায়"
Baby Products,Baby,Clothing,Clothing set (boys and girls),Carters',"cotton/synthetic, one colour/designer, wash care, sleeves/sleeveless","Wash care, cotton, synthetic",Positive,খুব সহজেই ধোয়া যায় এবং যত্ন নেওয়া যায়। উজ্জ্বল রংগুলি বেছে নিতে হবে।
Hobbies,Music,Instruments,Keyboards and Piano,Roland BK-4,"dimensions, number of keys, tuning pins, bridge material, pedals, soundboard, sound qualiy","soundboard, sound qualiy",Negative,উন্নত খেলোয়াড়দের জন্য অদক্ষ।
Education,Books,Audiobooks,Fully voiced reading,Penguin Random House,"several characters, distinct voice, Pitch, Sound quality, Acting",Several characters,Positive,"অসাধারণভাবে রিডিং করা হয়েছে! বেশ কয়েকটি চরিত্র থাকা সত্ত্বেও, আমি বইটির থেকে সংযোগটি হারাইনি।"
Health/Wellness,Living,Stay/ Experience,Resorts,Ananda Resorts (Shantiniketan),"Swimming pool, fitness center, parking, wifi, bar, laundry service, games, air conditioning, banquet/dining hall, various cuisines, family friendly","Swimming pool, various cuisines",Negative,"সুইমিং পুলে বাচ্চাদের সাঁতারের জায়গা নেই, পুলের জল এতটা পরিষ্কার নয়। রেস্তোরাঁর মেনুতেও কিছু উন্নতির প্রয়োজন: এটি বাঙালি/উত্তর ভারতীয়/ইন্দো-চীনের সংমিশ্রণ হওয়া সত্ত্বেও পর্যাপ্ত বিকল্পের অভাবের কারণে একটি একক খাবার বেছে নিতে পারে না।"
Hobbies,Photography,Camera accessories,Tripod,AmazonBasics,"light weight, adjustable height, multi level locking and steady rubberized legs, multipurpose head, cellphone holder, level indicator","multipurpose head, light weight",Positive,3-ওয়ে হেড পোর্ট্রেট বা ল্যান্ডস্কেপ অপশনগুলির সাথে ঝুঁকে এবং সুইভেল গতির জন্য অনুমতি দেয় এটি দ্রুত রিলিজ প্লেট এবং অ্যালুমিনিয়াম মিশ্র ধাতু দিয়ে তৈরি।
Transportation,Air,Flights,Domestic,Spice jet,"Cleanliness, hassle-free booking, safety, punctuality, luggage allowance, insurance, zero cancellation fees, affordable rates",Safety Punctuality,Positive,সব ধরনের নিরাপত্তাবিধি কঠোরভাবে পালন করতে হবে
Pets,Dogs,Grooming,Deodorizers,ODO-RITE,"ayurvedic, scent, fresh, vet recommended",not long- lasting,Negative,গন্ধটা অন্য রুমের ফ্রেশনারের মতই মাত্র কয়েক মিনিটের জন্য থাকে।
Health/Wellness,Personal Care,body,body wash,Aveeno Daily Moisturizing body wash,"natural ingredients, cruelty-free",hydrated and glowing skin,Positive,এই বডি ওয়াশ খুব ভালোভাবে পরিষ্কার করে এবং ত্বককে শুষ্ক হতে দেয় না
Entertainment,Movies,Genres,Biopics,Tanhaji,"inspiring, motivational, real story, natural acting, casting, performance, remarkable, historically acurate",Historically accurate,Negative,প্রত্যেক মহারাষ্ট্রিয়ানরা মেনে নেবে যে এই মুভিতে টুইস্ট ইতিহাস দেখানো হয়েছে। খুব বেশি ঐতিহাসিক বর্ণনা।
Home,Appliances,Fan,Table fan,Ibell,"small, compact, mobile, sweep size, air delivery speed, no of blades",Air delivery speed,Positive,"আইবেল ব্যক্তিগত ব্যবহারের জন্য কমপ্যাক্ট টেবিল ফ্যান দিচ্ছে। শক্তিশালী মোটর সংযুক্ত থাকার কারণে, এত ছোট ফ্যানের জন্য বায়ুপ্রবাহ দুর্দান্ত।"
Home,Appliances,Home theater,Multimedia players,Cubetek,"bluetooth/dolby/voice control, speaker connectivity, audio output mode, speaker feature",Speaker feature,Positive,কিউবেটেক মাল্টিমিডিয়া প্লেয়ার এখন আসছে 6x9 ইঞ্চি 3 ওয়ে কোএক্সিয়াল কার স্পিকার নিয়ে। এটি প্রিয় সঙ্গীতের সাথে ড্রাইভিং করার আনন্দকে পুনরায় আবিষ্কার করার মত এবং 480 ওয়াট পিক পাওয়ার আউটপুটের সাথে বিস্ময়কর শব্দের মান এবং প্রভাবপূর্ণ ব্যসের অভিজ্ঞতা লাভ করা।
Food,Grocery,Biscuits and Cookies,cookies,Parle Milano chocolate chip cookies,"fruit and nuts, butter, Cashew, delicious, nutritious, flavors",delicious,Positive,বাজারের অন্যতম সেরা চকোলেট চিপ কুকিজ। কুকিজ খেতে খেতেই গলে যায় চকোলেট।
Health/Wellness,Food,Eats/Beverages,Bakery,Kookie Jar,"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious, variety, service time, fresh, price","Variety, service time, fresh",Negative,"তাদের ডিমহীন প্যাস্ট্রি কালেকশন অনেক সীমিত ছিল, পরিষেবাটি কখনও কখনও অনেক সময় নেয় যা একটি হট চকোলেট ঠান্ডা হিসাবে টেবিলে পৌঁছানোর জন্য যথেষ্ট। এছাড়াও, স্ন্যাকস কখনও কখনও বাসি যা শারীরিক অস্বস্তি তৈরি করে।"
Transportation,Surface,Railways,Inter-state,,"Sleeper coach, AC, chair car, cleanliness, safety, punctuality, food service, travel insurance, tour packages",Cleanliness Tour packages,Negative,"""অ-তীর্থয়াত্রার প্যাকেজগুলি অনেক ভারতীয় পর্যটকদের আকর্ষণ করে না মূলত খুব বেশি খরচের কারণে এবং এত ভাল থাকার এবং খাবারের আয়োজনের জন্য নয়।"""
Home,Appliances,Air cooler,Personal air cooler,Havells,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",Less Energy,Positive,হ্যাভেলের ব্যক্তিগত এয়ার কুলারে একটি ছোট হাফ এইচপি মোটর লাগানো হয়েছে। এত ছোট কুলারের জন্য এটি যথেষ্ট এবং খুব কম শক্তি খরচ করে।
Home,Appliances,Fan,Pedestal fan,Zentax,"tall, oscillation feature, sweep size, air delivery speed, no of blades",Sweep size,Negative,জেনট্যাক্সের পেডেস্টাল ফ্যানগুলি ছোট দৈর্ঘ্যের আরও ব্লেড সহ দেওয়া হয়। ছোট সুইপ সাইজ পণ্যের কার্যকারিতাকে কমিয়ে দেয়।
Health/Wellness,Food,Eats/Beverages,Cafe,Abar Baithak The Coffee Shop,"Continental food and beverages, snacks, bakery items, quick service, online payments, ambience, music, parking, wifi, price","Ambience, food and beverages, quick service",Positive,"বাংলা গোয়েন্দা ফেলুদার উপর ভিত্তি করে সামগ্রিক থিম, পাশাপাশি সুন্দর বসার জায়গা, বাংলা সঙ্গীত এবং চমৎকার বইয়ের সংগ্রহ নিয়ে এই জায়গার পরিবেশ ও আবহ সত্যিই অতুলনীয়। খাবারটি খুবই সুস্বাদু, এবং চা খেতেও সুস্বাদু, যা ভদ্র কর্মচারীরা পরিবেশন করেন।"
Pets,Dogs,Grooming,Deodorizers,Pet Life,"ayurvedic, scent, fresh, vet recommended",not long-lasting,Negative,এর গন্ধ বেশিক্ষণ থাকে না।
Pets,Dogs,Grooming,Grooming clippers,EZLife,"stainless steel, sharpness, rubber coated handles, safety guard, comes with filer",noise,Negative,এতে বেশি শব্দ হয়।
